group,item,user-1,rating-1,user-2,rating-2
0,122,330,3.0,75,2.5
0,112,330,3.0,75,3.0
0,125,330,2.5,75,3.5
0,141,330,1.5,75,1.0
0,119,330,2.0,75,2.5
1,119,75,2.5,330,2.0
1,90,75,2.0,330,2.5
1,121,75,3.0,330,2.5
1,158,75,4.0,330,4.0
1,112,75,3.0,330,3.0
2,90,75,2.0,330,2.5
2,137,75,3.0,330,4.0
2,129,75,0.5,330,1.0
2,128,75,3.0,330,3.5
2,143,75,3.0,330,3.5
3,157,75,2.5,330,2.0
3,137,75,3.0,330,4.0
3,112,75,3.0,330,3.0
3,120,75,2.5,330,3.5
3,143,75,3.0,330,3.5
4,97,103,3.5,75,3.5
4,107,103,3.0,75,4.0
4,117,103,2.5,75,2.5
4,134,103,3.0,75,3.5
4,158,103,3.0,75,4.0
5,52,103,3.5,75,1.0
5,106,103,2.0,75,3.5
5,83,103,3.0,75,2.0
5,134,103,3.0,75,3.5
5,108,103,3.5,75,2.5
6,141,75,1.0,330,1.5
6,90,75,2.0,330,2.5
6,120,75,2.5,330,3.5
6,157,75,2.5,330,2.0
6,129,75,0.5,330,1.0
7,52,75,1.0,228,3.5
7,139,75,3.0,228,2.0
7,125,75,3.5,228,3.5
7,134,75,3.5,228,4.0
7,123,75,3.5,228,3.0
8,141,330,1.5,75,1.0
8,137,330,4.0,75,3.0
8,158,330,4.0,75,4.0
8,143,330,3.5,75,3.0
8,119,330,2.0,75,2.5
9,137,330,4.0,75,3.0
9,90,330,2.5,75,2.0
9,158,330,4.0,75,4.0
9,120,330,3.5,75,2.5
9,125,330,2.5,75,3.5
10,112,75,3.0,330,3.0
10,129,75,0.5,330,1.0
10,56,75,3.5,330,3.0
10,122,75,2.5,330,3.0
10,90,75,2.0,330,2.5
11,117,75,2.5,103,2.5
11,106,75,3.5,103,2.0
11,112,75,3.0,103,1.5
11,83,75,2.0,103,3.0
11,134,75,3.5,103,3.0
12,158,330,4.0,75,4.0
12,127,330,3.0,75,2.5
12,146,330,2.5,75,2.5
12,56,330,3.0,75,3.5
12,137,330,4.0,75,3.0
13,52,103,3.5,75,1.0
13,90,103,0.5,75,2.0
13,106,103,2.0,75,3.5
13,117,103,2.5,75,2.5
13,144,103,3.5,75,3.0
14,13,49,1.5,90,1.5
14,57,49,1.5,90,3.0
14,52,49,3.5,90,4.0
14,53,49,1.0,90,4.0
14,59,49,1.5,90,4.0
15,90,330,2.5,75,2.0
15,122,330,3.0,75,2.5
15,141,330,1.5,75,1.0
15,137,330,4.0,75,3.0
15,125,330,2.5,75,3.5
16,134,103,3.0,75,3.5
16,112,103,1.5,75,3.0
16,108,103,3.5,75,2.5
16,107,103,3.0,75,4.0
16,117,103,2.5,75,2.5
17,143,330,3.5,75,3.0
17,146,330,2.5,75,2.5
17,122,330,3.0,75,2.5
17,151,330,3.5,75,4.0
17,137,330,4.0,75,3.0
18,122,75,2.5,330,3.0
18,137,75,3.0,330,4.0
18,90,75,2.0,330,2.5
18,119,75,2.5,330,2.0
18,158,75,4.0,330,4.0
19,137,330,4.0,75,3.0
19,151,330,3.5,75,4.0
19,120,330,3.5,75,2.5
19,158,330,4.0,75,4.0
19,129,330,1.0,75,0.5
20,146,330,2.5,75,2.5
20,157,330,2.0,75,2.5
20,56,330,3.0,75,3.5
20,129,330,1.0,75,0.5
20,112,330,3.0,75,3.0
21,120,330,3.5,75,2.5
21,121,330,2.5,75,3.0
21,128,330,3.5,75,3.0
21,127,330,3.0,75,2.5
21,151,330,3.5,75,4.0
22,90,75,2.0,330,2.5
22,158,75,4.0,330,4.0
22,121,75,3.0,330,2.5
22,151,75,4.0,330,3.5
22,128,75,3.0,330,3.5
23,134,103,3.0,75,3.5
23,112,103,1.5,75,3.0
23,55,103,4.0,75,3.0
23,107,103,3.0,75,4.0
23,52,103,3.5,75,1.0
24,13,68,2.5,406,4.0
24,55,68,4.0,406,3.5
24,61,68,4.0,406,2.5
24,56,68,3.5,406,4.0
24,60,68,2.5,406,3.0
25,58,325,3.5,319,2.5
25,56,325,3.5,319,4.0
25,59,325,3.0,319,4.0
25,62,325,4.0,319,4.0
25,54,325,3.5,319,4.0
26,128,75,3.0,330,3.5
26,56,75,3.5,330,3.0
26,123,75,3.5,330,3.5
26,141,75,1.0,330,1.5
26,120,75,2.5,330,3.5
27,134,331,3.0,103,3.0
27,54,331,3.5,103,2.0
27,53,331,4.0,103,2.5
27,57,331,4.0,103,4.0
27,55,331,4.0,103,4.0
28,122,75,2.5,330,3.0
28,90,75,2.0,330,2.5
28,56,75,3.5,330,3.0
28,141,75,1.0,330,1.5
28,127,75,2.5,330,3.0
29,56,103,1.0,75,3.5
29,158,103,3.0,75,4.0
29,161,103,3.0,75,4.0
29,107,103,3.0,75,4.0
29,52,103,3.5,75,1.0
30,156,331,3.5,75,2.5
30,118,331,4.0,75,4.0
30,134,331,3.0,75,3.5
30,56,331,3.5,75,3.5
30,120,331,4.0,75,2.5
31,56,330,3.0,75,3.5
31,137,330,4.0,75,3.0
31,141,330,1.5,75,1.0
31,112,330,3.0,75,3.0
31,90,330,2.5,75,2.0
32,56,75,3.5,330,3.0
32,143,75,3.0,330,3.5
32,122,75,2.5,330,3.0
32,123,75,3.5,330,3.5
32,137,75,3.0,330,4.0
33,127,330,3.0,75,2.5
33,121,330,2.5,75,3.0
33,157,330,2.0,75,2.5
33,129,330,1.0,75,0.5
33,119,330,2.0,75,2.5
34,119,75,2.5,330,2.0
34,125,75,3.5,330,2.5
34,90,75,2.0,330,2.5
34,143,75,3.0,330,3.5
34,112,75,3.0,330,3.0
35,54,48,2.5,406,4.0
35,59,48,4.0,406,4.0
35,61,48,2.5,406,2.5
35,60,48,3.0,406,3.0
35,63,48,3.0,406,2.0
36,52,103,3.5,75,1.0
36,161,103,3.0,75,4.0
36,56,103,1.0,75,3.5
36,117,103,2.5,75,2.5
36,158,103,3.0,75,4.0
37,137,330,4.0,75,3.0
37,122,330,3.0,75,2.5
37,123,330,3.5,75,3.5
37,119,330,2.0,75,2.5
37,151,330,3.5,75,4.0
38,143,330,3.5,75,3.0
38,121,330,2.5,75,3.0
38,56,330,3.0,75,3.5
38,125,330,2.5,75,3.5
