group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3
0,52,212,3.0,194,2.5,215,3.0
0,59,212,3.5,194,3.0,215,2.0
0,53,212,4.0,194,4.0,215,3.0
0,58,212,4.0,194,3.0,215,3.5
0,63,212,4.0,194,3.0,215,2.5
1,57,303,2.5,384,3.5,158,2.0
1,54,303,1.5,384,4.0,158,3.5
1,52,303,3.0,384,3.0,158,4.0
1,55,303,0.5,384,4.0,158,3.5
1,63,303,1.0,384,3.0,158,3.5
2,13,350,3.0,364,3.5,144,3.0
2,59,350,4.0,364,3.0,144,3.5
2,62,350,4.0,364,2.0,144,4.0
2,61,350,3.5,364,2.5,144,4.0
2,57,350,2.5,364,0.5,144,2.5
3,13,129,1.5,259,1.0,18,2.5
3,60,129,3.0,259,3.0,18,3.0
3,57,129,3.0,259,1.0,18,4.0
3,59,129,4.0,259,4.0,18,3.0
3,63,129,1.5,259,2.0,18,2.0
4,59,247,4.0,37,3.5,260,2.5
4,53,247,4.0,37,3.0,260,0.5
4,62,247,4.0,37,4.0,260,0.5
4,13,247,4.0,37,3.0,260,2.5
4,54,247,4.0,37,3.5,260,2.5
5,54,20,4.0,298,2.5,351,3.0
5,60,20,3.5,298,3.0,351,4.0
5,61,20,3.0,298,2.0,351,4.0
5,63,20,4.0,298,2.5,351,3.5
5,62,20,3.0,298,3.0,351,4.0
6,13,196,2.0,351,4.0,167,3.0
6,53,196,4.0,351,3.0,167,3.5
6,52,196,4.0,351,3.0,167,3.5
6,62,196,3.5,351,4.0,167,3.0
6,63,196,2.0,351,3.5,167,2.5
7,60,53,3.0,141,0.5,225,2.5
7,13,53,4.0,141,2.0,225,3.0
7,55,53,4.0,141,3.0,225,3.0
7,57,53,3.5,141,1.0,225,3.0
7,54,53,4.0,141,3.0,225,2.0
8,60,167,2.5,37,3.0,196,4.0
8,53,167,3.5,37,3.0,196,4.0
8,62,167,3.0,37,4.0,196,3.5
8,61,167,2.5,37,3.5,196,1.5
8,63,167,2.5,37,2.5,196,2.0
9,61,250,2.5,409,2.5,325,3.5
9,59,250,4.0,409,3.0,325,3.0
9,63,250,3.5,409,2.0,325,3.0
9,55,250,1.5,409,3.5,325,4.0
9,52,250,2.5,409,1.5,325,4.0
10,57,406,2.0,212,3.0,31,2.5
10,58,406,4.0,212,4.0,31,3.0
10,60,406,3.0,212,3.5,31,3.5
10,55,406,3.5,212,3.0,31,3.5
10,61,406,2.5,212,3.5,31,2.0
