group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4
0,62,384,4.0,119,3.5,90,4.0,259,4.0
0,58,384,4.0,119,4.0,90,1.0,259,3.0
0,56,384,4.0,119,4.0,90,3.5,259,2.0
0,55,384,4.0,119,3.5,90,4.0,259,2.0
0,53,384,4.0,119,3.0,90,4.0,259,1.0
1,58,209,3.5,144,3.5,42,4.0,196,3.0
1,60,209,3.5,144,3.0,42,3.0,196,4.0
1,59,209,4.0,144,3.5,42,3.5,196,4.0
1,56,209,4.0,144,4.0,42,4.0,196,2.5
1,61,209,3.0,144,4.0,42,1.5,196,1.5
2,61,196,1.5,90,0.5,119,3.5,144,4.0
2,57,196,3.0,90,3.0,119,3.0,144,2.5
2,62,196,3.5,90,4.0,119,3.5,144,4.0
2,60,196,4.0,90,3.5,119,3.0,144,3.0
2,58,196,3.0,90,1.0,119,4.0,144,3.5
3,54,197,2.0,54,4.0,292,3.0,129,2.0
3,56,197,3.0,54,4.0,292,2.5,129,2.0
3,62,197,2.5,54,4.0,292,3.0,129,4.0
3,52,197,3.0,54,4.0,292,4.0,129,2.5
3,60,197,2.5,54,4.0,292,3.0,129,3.0
4,53,292,2.5,48,3.5,323,3.5,64,3.0
4,63,292,2.5,48,3.0,323,3.5,64,1.5
4,62,292,3.0,48,4.0,323,2.0,64,3.5
4,52,292,4.0,48,3.0,323,4.0,64,2.5
4,58,292,4.0,48,4.0,323,3.5,64,4.0
5,62,323,2.0,98,2.5,216,3.0,224,3.0
5,52,323,4.0,98,4.0,216,3.5,224,1.5
5,63,323,3.5,98,3.0,216,4.0,224,0.5
5,54,323,3.5,98,4.0,216,4.0,224,3.0
5,56,323,3.0,98,4.0,216,4.0,224,3.0
6,62,292,3.0,167,3.0,407,1.0,413,2.0
6,59,292,4.0,167,1.5,407,4.0,413,2.0
6,57,292,4.0,167,2.5,407,4.0,413,4.0
6,53,292,2.5,167,3.5,407,4.0,413,1.5
6,63,292,2.5,167,2.5,407,4.0,413,3.0
7,62,413,2.0,332,2.5,384,4.0,38,3.0
7,54,413,2.5,332,1.5,384,4.0,38,3.0
7,59,413,2.0,332,2.5,384,4.0,38,1.0
7,13,413,2.5,332,3.0,384,4.0,38,2.0
7,63,413,3.0,332,2.0,384,3.0,38,2.0
8,56,325,3.5,119,4.0,37,4.0,48,4.0
8,60,325,3.5,119,3.0,37,3.0,48,3.0
8,57,325,3.0,119,3.0,37,3.5,48,2.5
8,53,325,3.0,119,3.0,37,3.0,48,3.5
8,55,325,4.0,119,3.5,37,4.0,48,3.0
9,61,332,1.5,209,3.0,8,3.5,406,2.5
9,13,332,3.0,209,4.0,8,3.5,406,4.0
9,58,332,3.0,209,3.5,8,4.0,406,4.0
9,63,332,2.0,209,3.5,8,4.0,406,2.0
9,53,332,2.5,209,1.5,8,4.0,406,4.0
10,54,119,3.5,20,4.0,48,2.5,413,2.5
10,13,119,3.5,20,4.0,48,3.5,413,2.5
10,53,119,3.0,20,4.0,48,3.5,413,1.5
10,52,119,4.0,20,4.0,48,3.0,413,2.5
10,58,119,4.0,20,3.0,48,4.0,413,3.5
11,58,297,3.0,103,2.0,419,4.0,236,2.5
11,57,297,4.0,103,4.0,419,1.0,236,3.0
11,59,297,4.0,103,3.5,419,4.0,236,3.0
11,108,297,4.0,103,3.5,419,4.0,236,4.0
11,56,297,3.5,103,1.0,419,3.0,236,3.5
12,63,289,3.0,2,2.0,319,4.0,315,4.0
12,59,289,3.0,2,3.0,319,4.0,315,4.0
12,53,289,2.0,2,3.0,319,4.0,315,4.0
12,13,289,3.0,2,2.0,319,4.0,315,1.0
12,61,289,1.5,2,3.5,319,3.5,315,0.5
13,63,124,1.5,8,4.0,144,1.5,194,3.0
13,57,124,1.0,8,4.0,144,2.5,194,3.0
13,54,124,3.5,8,4.0,144,3.5,194,2.0
13,58,124,3.0,8,4.0,144,3.5,194,3.0
13,52,124,3.5,8,3.5,144,3.5,194,2.5
14,54,166,1.5,167,1.5,413,2.5,142,2.5
14,52,166,2.5,167,3.5,413,2.5,142,1.0
14,55,166,2.5,167,2.0,413,2.0,142,2.5
14,59,166,2.0,167,1.5,413,2.0,142,4.0
14,58,166,0.5,167,3.5,413,3.5,142,3.5
