group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5
0,57,196,3.0,18,4.0,165,1.5,106,3.0,37,3.5
0,52,196,4.0,18,4.0,165,3.0,106,3.0,37,3.0
0,60,196,4.0,18,3.0,165,2.5,106,2.5,37,3.0
0,58,196,3.0,18,4.0,165,4.0,106,3.0,37,3.0
0,61,196,1.5,18,2.5,165,1.5,106,3.0,37,3.5
1,58,259,3.0,157,3.5,275,3.5,233,3.0,79,1.5
1,61,259,4.0,157,2.5,275,4.0,233,2.0,79,1.0
1,55,259,2.0,157,1.5,275,3.5,233,2.0,79,2.5
1,60,259,3.0,157,1.5,275,2.5,233,4.0,79,1.5
1,56,259,2.0,157,2.5,275,3.0,233,3.0,79,3.5
2,56,24,4.0,127,2.0,298,2.0,412,3.5,53,4.0
2,60,24,3.0,127,3.5,298,3.0,412,2.5,53,3.0
2,63,24,2.0,127,1.5,298,2.5,412,2.0,53,2.0
2,62,24,3.0,127,1.0,298,3.0,412,2.5,53,3.5
2,13,24,4.0,127,2.0,298,2.5,412,3.5,53,4.0
3,56,54,4.0,18,3.5,194,2.5,367,3.0,300,4.0
3,57,54,4.0,18,4.0,194,3.0,367,2.5,300,1.5
3,54,54,4.0,18,3.5,194,2.0,367,4.0,300,4.0
3,60,54,4.0,18,3.0,194,3.0,367,3.0,300,4.0
3,59,54,4.0,18,3.0,194,3.0,367,4.0,300,4.0
4,55,79,2.5,212,3.0,292,3.0,209,4.0,24,2.5
4,61,79,1.0,212,3.5,292,2.5,209,3.0,24,1.5
4,13,79,1.0,212,3.5,292,2.5,209,4.0,24,4.0
4,57,79,1.5,212,3.0,292,4.0,209,2.5,24,1.5
4,60,79,1.5,212,3.5,292,3.0,209,3.5,24,3.0
5,52,68,3.5,24,4.0,136,4.0,18,4.0,157,3.5
5,59,68,3.0,24,4.0,136,4.0,18,3.0,157,2.0
5,61,68,4.0,24,1.5,136,2.5,18,2.5,157,2.5
5,53,68,0.5,24,1.0,136,4.0,18,2.0,157,1.5
5,13,68,2.5,24,4.0,136,3.0,18,2.5,157,3.0
6,61,60,3.5,106,3.0,259,4.0,79,1.0,402,0.5
6,13,60,3.0,106,3.5,259,1.0,79,1.0,402,1.5
6,63,60,4.0,106,3.5,259,2.0,79,1.0,402,1.5
6,60,60,4.0,106,2.5,259,3.0,79,1.5,402,2.0
6,53,60,3.5,106,3.0,259,1.0,79,2.0,402,0.5
7,53,105,3.0,332,2.5,407,4.0,225,3.0,49,1.0
7,62,105,3.5,332,2.5,407,1.0,225,3.0,49,3.0
7,52,105,3.5,332,3.0,407,4.0,225,4.0,49,3.5
7,63,105,4.0,332,2.0,407,4.0,225,3.0,49,2.5
7,56,105,3.0,332,3.0,407,4.0,225,3.0,49,3.5
8,59,144,3.5,402,3.5,194,3.0,38,1.0,406,4.0
8,61,144,4.0,402,0.5,194,3.5,38,2.5,406,2.5
8,62,144,4.0,402,3.0,194,4.0,38,3.0,406,4.0
8,56,144,4.0,402,3.5,194,2.5,38,3.0,406,4.0
8,52,144,3.5,402,3.5,194,2.5,38,4.0,406,4.0
9,56,136,4.0,409,3.5,130,3.0,38,3.0,289,2.5
9,54,136,4.0,409,2.5,130,4.0,38,3.0,289,2.5
9,60,136,3.5,409,3.0,130,3.5,38,2.0,289,3.5
9,58,136,4.0,409,3.0,130,4.0,38,3.0,289,4.0
9,13,136,3.0,409,3.0,130,4.0,38,2.0,289,3.0
10,56,367,3.0,298,2.0,98,4.0,136,4.0,250,3.0
10,62,367,4.0,298,3.0,98,2.5,136,4.0,250,4.0
10,57,367,2.5,298,4.0,98,3.0,136,2.0,250,3.5
10,63,367,2.5,298,2.5,98,3.0,136,3.5,250,3.5
10,52,367,4.0,298,3.5,98,4.0,136,4.0,250,2.5
11,63,98,3.0,142,0.5,259,2.0,407,4.0,300,3.0
11,60,98,4.0,142,1.0,259,3.0,407,4.0,300,4.0
11,59,98,4.0,142,4.0,259,4.0,407,4.0,300,4.0
11,62,98,2.5,142,3.5,259,4.0,407,1.0,300,4.0
11,54,98,4.0,142,2.5,259,2.5,407,4.0,300,4.0
12,62,419,3.0,395,4.0,298,3.0,144,4.0,323,2.0
12,56,419,3.0,395,3.0,298,2.0,144,4.0,323,3.0
12,59,419,4.0,395,3.5,298,2.0,144,3.5,323,3.5
12,52,419,4.0,395,1.5,298,3.5,144,3.5,323,4.0
12,58,419,4.0,395,3.5,298,3.0,144,3.5,323,3.5
13,60,300,4.0,9,2.5,119,3.0,142,1.0,8,3.5
13,58,300,4.0,9,3.5,119,4.0,142,3.5,8,4.0
13,55,300,3.0,9,2.0,119,3.5,142,2.5,8,3.5
13,63,300,3.0,9,0.5,119,3.5,142,0.5,8,4.0
