group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6
0,54,90,2.0,300,4.0,124,3.5,215,1.5,275,2.0,250,4.0
0,58,90,1.0,300,4.0,124,3.0,215,3.5,275,3.5,250,4.0
0,63,90,2.5,300,3.0,124,1.5,215,2.5,275,3.5,250,3.5
0,61,90,0.5,300,1.5,124,1.0,215,2.5,275,4.0,250,2.5
0,56,90,3.5,300,4.0,124,3.5,215,3.5,275,3.0,250,3.0
1,53,289,2.0,397,4.0,2,3.0,105,3.0,129,2.0,192,3.5
1,60,289,3.5,397,4.0,2,3.0,105,4.0,129,3.0,192,2.5
1,52,289,0.5,397,4.0,2,2.5,105,3.5,129,2.5,192,4.0
1,55,289,3.5,397,4.0,2,3.0,105,4.0,129,3.5,192,2.0
1,59,289,3.0,397,4.0,2,3.0,105,3.0,129,4.0,192,4.0
2,13,289,3.0,388,2.5,92,4.0,250,4.0,197,1.0,68,2.5
2,58,289,4.0,388,4.0,92,4.0,250,4.0,197,3.0,68,2.5
2,54,289,2.5,388,2.0,92,3.0,250,4.0,197,2.0,68,2.5
2,59,289,3.0,388,1.5,92,4.0,250,4.0,197,2.0,68,3.0
2,62,289,3.0,388,1.0,92,3.5,250,4.0,197,2.5,68,2.0
3,58,224,0.5,194,3.0,192,2.0,388,4.0,20,3.0,49,1.5
3,53,224,4.0,194,4.0,192,3.5,388,0.5,20,4.0,49,1.0
3,62,224,3.0,194,4.0,192,4.0,388,1.0,20,3.0,49,3.0
3,57,224,2.5,194,3.0,192,3.5,388,0.5,20,3.0,49,1.5
3,54,224,3.0,194,2.0,192,3.0,388,2.0,20,4.0,49,1.5
4,60,216,3.5,410,3.5,101,2.0,18,3.0,42,3.0,388,0.5
4,56,216,4.0,410,3.5,101,1.0,18,3.5,42,4.0,388,4.0
4,55,216,4.0,410,4.0,101,3.0,18,3.5,42,3.5,388,2.5
4,13,216,4.0,410,3.0,101,2.0,18,2.5,42,3.0,388,2.5
4,63,216,4.0,410,3.5,101,2.5,18,2.0,42,2.0,388,4.0
5,13,319,4.0,388,2.5,351,4.0,167,3.0,350,3.0,119,3.5
5,63,319,4.0,388,4.0,351,3.5,167,2.5,350,1.0,119,3.5
5,57,319,1.0,388,0.5,351,4.0,167,2.5,350,2.5,119,3.0
5,61,319,3.5,388,1.0,351,4.0,167,2.5,350,3.5,119,3.5
5,53,319,4.0,388,0.5,351,3.0,167,3.5,350,3.5,119,3.0
6,63,350,1.0,219,4.0,194,3.0,402,1.5,37,2.5,365,2.0
6,54,350,3.0,219,3.5,194,2.0,402,4.0,37,3.5,365,2.0
6,55,350,4.0,219,4.0,194,4.0,402,3.0,37,4.0,365,4.0
6,57,350,2.5,219,3.0,194,3.0,402,2.0,37,3.5,365,2.0
6,52,350,2.0,219,3.0,194,2.5,402,3.5,37,3.0,365,0.5
7,56,367,3.0,216,4.0,289,2.5,129,2.0,105,3.0,297,3.5
7,54,367,4.0,216,4.0,289,2.5,129,2.0,105,3.5,297,2.5
7,52,367,4.0,216,3.5,289,0.5,129,2.5,105,3.5,297,1.5
