group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7
0,60,31,3.5,90,3.5,323,2.0,307,3.0,370,3.0,224,1.0,325,3.5
0,55,31,3.5,90,4.0,323,4.0,307,3.0,370,4.0,224,3.5,325,4.0
0,58,31,3.0,90,1.0,323,3.5,307,3.0,370,4.0,224,0.5,325,3.5
0,56,31,3.0,90,3.5,323,3.0,307,4.0,370,4.0,224,3.0,325,3.5
0,62,31,4.0,90,4.0,323,2.0,307,2.5,370,4.0,224,3.0,325,4.0
1,60,351,4.0,68,2.5,79,1.5,98,4.0,18,3.0,9,2.5,247,3.5
1,62,351,4.0,68,2.0,79,3.5,98,2.5,18,3.5,9,3.0,247,4.0
1,63,351,3.5,68,1.0,79,1.0,98,3.0,18,2.0,9,0.5,247,4.0
1,52,351,3.0,68,3.5,79,1.5,98,4.0,18,4.0,9,1.0,247,4.0
1,53,351,3.0,68,0.5,79,2.0,98,4.0,18,2.0,9,2.5,247,4.0
2,54,410,4.0,350,3.0,8,4.0,259,2.5,166,1.5,90,2.0,225,2.0
2,61,410,3.5,350,3.5,8,3.5,259,4.0,166,2.0,90,0.5,225,3.5
2,56,410,3.5,350,3.0,8,4.0,259,2.0,166,1.5,90,3.5,225,3.0
2,13,410,3.0,350,3.0,8,3.5,259,1.0,166,3.0,90,1.5,225,3.0
2,52,410,4.0,350,2.0,8,3.5,259,3.5,166,2.5,90,4.0,225,4.0
3,53,198,3.5,197,2.0,20,4.0,110,2.5,79,2.0,54,4.0,413,1.5
3,61,198,3.5,197,2.5,20,3.0,110,3.0,79,1.0,54,4.0,413,3.0
3,13,198,4.0,197,1.0,20,4.0,110,3.0,79,1.0,54,4.0,413,2.5
3,59,198,3.5,197,2.0,20,4.0,110,2.5,79,2.0,54,4.0,413,2.0
3,63,198,4.0,197,2.5,20,4.0,110,0.5,79,1.0,54,4.0,413,3.0
4,60,100,2.5,119,3.0,224,1.0,410,3.5,135,2.0,250,3.5,300,4.0
4,54,100,2.5,119,3.5,224,3.0,410,4.0,135,3.0,250,4.0,300,4.0
4,57,100,1.5,119,3.0,224,2.5,410,3.0,135,4.0,250,3.5,300,1.5
4,56,100,1.5,119,4.0,224,3.0,410,3.5,135,4.0,250,3.0,300,4.0
4,55,100,4.0,119,3.5,224,3.5,410,4.0,135,2.5,250,1.5,300,3.0
5,55,141,3.0,98,3.0,49,3.0,225,3.0,90,4.0,209,4.0,142,2.5
5,59,141,3.0,98,4.0,49,1.5,225,3.0,90,4.0,209,4.0,142,4.0
5,60,141,0.5,98,4.0,49,2.0,225,2.5,90,3.5,209,3.5,142,1.0
5,13,141,2.0,98,4.0,49,1.5,225,3.0,90,1.5,209,4.0,142,1.5
5,62,141,3.5,98,2.5,49,3.0,225,3.0,90,4.0,209,4.0,142,3.5
6,54,413,2.5,407,4.0,259,2.5,24,3.5,55,3.0,194,2.0,18,3.5
6,13,413,2.5,407,4.0,259,1.0,24,4.0,55,3.0,194,3.0,18,2.5
6,61,413,3.0,407,4.0,259,4.0,24,1.5,55,3.0,194,3.5,18,2.5
6,56,413,2.0,407,4.0,259,2.0,24,4.0,55,3.0,194,2.5,18,3.5
6,62,413,2.0,407,1.0,259,4.0,24,3.0,55,4.0,194,4.0,18,3.5
7,57,110,3.5,298,4.0,216,4.0,197,2.0,415,4.0,106,3.0,267,4.0
7,54,110,2.0,298,2.5,216,4.0,197,2.0,415,4.0,106,3.0,267,4.0
7,13,110,3.0,298,2.5,216,4.0,197,1.0,415,4.0,106,3.5,267,4.0
7,55,110,3.5,298,2.0,216,4.0,197,2.5,415,2.5,106,4.0,267,4.0
7,60,110,1.5,298,3.0,216,3.5,197,2.5,415,4.0,106,2.5,267,4.0
8,57,136,2.0,144,2.5,209,2.5,281,1.5,196,3.0,412,0.5,167,2.5
8,53,136,4.0,144,0.5,209,1.5,281,4.0,196,4.0,412,1.5,167,3.5
8,60,136,3.5,144,3.0,209,3.5,281,4.0,196,4.0,412,2.5,167,2.5
8,61,136,2.5,144,4.0,209,3.0,281,2.0,196,1.5,412,2.5,167,2.5
8,63,136,3.5,144,1.5,209,3.5,281,4.0,196,2.0,412,2.0,167,2.5
9,57,106,3.0,2,2.0,53,3.5,24,1.5,225,3.0,209,2.5,407,4.0
9,63,106,3.5,2,2.0,53,2.0,24,2.0,225,3.0,209,3.5,407,4.0
9,53,106,3.0,2,3.0,53,2.5,24,1.0,225,3.0,209,1.5,407,4.0
9,61,106,3.0,2,3.5,53,3.5,24,1.5,225,3.5,209,3.0,407,4.0
9,62,106,3.5,2,3.0,53,3.5,24,3.0,225,3.0,209,4.0,407,1.0
10,61,412,2.5,332,1.5,410,3.5,166,2.0,250,2.5,197,2.5,9,0.5
10,62,412,2.5,332,2.5,410,4.0,166,2.5,250,4.0,197,2.5,9,3.0
10,55,412,3.5,332,2.0,410,4.0,166,2.5,250,1.5,197,2.5,9,2.0
10,56,412,3.5,332,3.0,410,3.5,166,1.5,250,3.0,197,3.0,9,4.0
10,57,412,0.5,332,2.5,410,3.0,166,2.0,250,3.5,197,2.0,9,1.0
11,53,233,4.0,14,3.0,247,4.0,212,4.0,310,3.5,259,1.0,289,2.0
11,61,233,2.0,14,3.5,247,4.0,212,3.5,310,1.5,259,4.0,289,1.5
11,57,233,3.0,14,4.0,247,4.0,212,3.0,310,3.0,259,1.0,289,2.5
11,58,233,3.0,14,4.0,247,0.5,212,4.0,310,2.0,259,3.0,289,4.0
11,52,233,4.0,14,4.0,247,4.0,212,3.0,310,2.0,259,3.5,289,0.5
12,61,395,2.5,60,3.5,110,3.0,157,2.5,53,3.5,197,2.5,351,4.0
12,53,395,2.0,60,3.5,110,2.5,157,1.5,53,2.5,197,2.0,351,3.0
12,58,395,3.5,60,3.5,110,2.0,157,3.5,53,4.0,197,3.0,351,4.0
12,57,395,1.5,60,4.0,110,3.5,157,2.0,53,3.5,197,2.0,351,4.0
12,56,395,3.0,60,4.0,110,3.0,157,2.5,53,4.0,197,3.0,351,3.0
13,59,101,1.5,410,3.5,384,4.0,53,4.0,92,4.0,225,3.0,323,3.5
13,62,101,3.0,410,4.0,384,4.0,53,3.5,92,3.5,225,3.0,323,2.0
13,55,101,3.0,410,4.0,384,4.0,53,4.0,92,4.0,225,3.0,323,4.0
13,57,101,3.0,410,3.0,384,3.5,53,3.5,92,3.5,225,3.0,323,3.5
13,13,101,2.0,410,3.0,384,4.0,53,4.0,92,4.0,225,3.0,323,3.5
14,58,407,4.0,219,3.0,110,2.0,267,4.0,119,4.0,406,4.0,197,3.0
14,57,407,4.0,219,3.0,110,3.5,267,4.0,119,3.0,406,2.0,197,2.0
14,60,407,4.0,219,3.5,110,1.5,267,4.0,119,3.0,406,3.0,197,2.5
14,13,407,4.0,219,3.5,110,3.0,267,4.0,119,3.5,406,4.0,197,1.0
14,63,407,4.0,219,4.0,110,0.5,267,4.0,119,3.5,406,2.0,197,2.5
15,61,20,3.0,267,4.0,2,3.5,225,3.5,110,3.0,68,4.0,395,2.5
15,54,20,4.0,267,4.0,2,3.5,225,2.0,110,2.0,68,2.5,395,2.5
15,56,20,4.0,267,4.0,2,4.0,225,3.0,110,3.0,68,3.5,395,3.0
15,62,20,3.0,267,4.0,2,3.0,225,3.0,110,4.0,68,2.0,395,4.0
15,13,20,4.0,267,4.0,2,2.0,225,3.0,110,3.0,68,2.5,395,3.5
16,63,350,1.0,166,2.0,49,2.5,289,3.0,365,2.0,225,3.0,404,2.5
16,52,350,2.0,166,2.5,49,3.5,289,0.5,365,0.5,225,4.0,404,3.5
16,60,350,3.5,166,3.0,49,2.0,289,3.5,365,1.5,225,2.5,404,3.5
16,55,350,4.0,166,2.5,49,3.0,289,3.5,365,4.0,225,3.0,404,3.0
