group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8
0,13,2,2.0,167,3.0,267,4.0,49,1.5,14,3.5,406,4.0,260,2.5,54,4.0
0,57,2,2.0,167,2.5,267,4.0,49,1.5,14,4.0,406,2.0,260,0.5,54,4.0
0,54,2,3.5,167,1.5,267,4.0,49,1.5,14,2.5,406,4.0,260,2.5,54,4.0
0,58,2,3.5,167,3.5,267,4.0,49,1.5,14,4.0,406,4.0,260,0.5,54,4.0
0,62,2,3.0,167,3.0,267,4.0,49,3.0,14,3.5,406,4.0,260,0.5,54,4.0
1,60,166,3.0,406,3.0,412,2.5,219,3.5,20,3.5,48,3.0,68,2.5,267,4.0
1,63,166,2.0,406,2.0,412,2.0,219,4.0,20,4.0,48,3.0,68,1.0,267,4.0
1,53,166,1.0,406,4.0,412,1.5,219,4.0,20,4.0,48,3.5,68,0.5,267,4.0
1,61,166,2.0,406,2.5,412,2.5,219,3.0,20,3.0,48,2.5,68,4.0,267,4.0
1,58,166,0.5,406,4.0,412,3.0,219,3.0,20,3.0,48,4.0,68,2.5,267,4.0
2,60,68,2.5,410,3.5,409,3.0,404,3.5,54,4.0,136,3.5,267,4.0,300,4.0
2,53,68,0.5,410,3.5,409,3.5,404,4.0,54,4.0,136,4.0,267,4.0,300,3.0
2,54,68,2.5,410,4.0,409,2.5,404,3.0,54,4.0,136,4.0,267,4.0,300,4.0
2,58,68,2.5,410,3.5,409,3.0,404,3.5,54,4.0,136,4.0,267,4.0,300,4.0
2,61,68,4.0,410,3.5,409,2.5,404,2.0,54,4.0,136,2.5,267,4.0,300,1.5
3,61,166,2.0,68,4.0,124,1.0,281,2.0,409,2.5,42,1.5,165,1.5,259,4.0
3,62,166,2.5,68,2.0,124,3.0,281,4.0,409,3.5,42,4.0,165,4.0,259,4.0
3,57,166,2.0,68,1.5,124,1.0,281,1.5,409,3.5,42,3.0,165,1.5,259,1.0
3,54,166,1.5,68,2.5,124,3.5,281,4.0,409,2.5,42,3.0,165,2.5,259,2.5
3,60,166,3.0,68,2.5,124,2.5,281,4.0,409,3.0,42,3.0,165,2.5,259,3.0
4,13,298,2.5,212,3.5,18,2.5,247,4.0,364,3.5,2,2.0,267,4.0,196,2.0
4,61,298,2.0,212,3.5,18,2.5,247,4.0,364,2.5,2,3.5,267,4.0,196,1.5
4,55,298,2.0,212,3.0,18,3.5,247,4.0,364,3.5,2,3.0,267,4.0,196,3.5
4,59,298,2.0,212,3.5,18,3.0,247,4.0,364,3.0,2,3.0,267,4.0,196,4.0
4,58,298,3.0,212,4.0,18,4.0,247,0.5,364,2.0,2,3.5,267,4.0,196,3.0
5,59,332,2.5,48,4.0,31,4.0,395,3.5,409,3.0,24,4.0,54,4.0,384,4.0
5,56,332,3.0,48,4.0,31,3.0,395,3.0,409,3.5,24,4.0,54,4.0,384,4.0
5,58,332,3.0,48,4.0,31,3.0,395,3.5,409,3.0,24,4.0,54,4.0,384,4.0
5,53,332,2.5,48,3.5,31,3.0,395,2.0,409,3.5,24,1.0,54,4.0,384,4.0
5,54,332,1.5,48,2.5,31,3.0,395,2.5,409,2.5,24,3.5,54,4.0,384,4.0
6,13,267,4.0,315,1.0,298,2.5,144,3.0,165,3.5,310,3.0,196,2.0,225,3.0
6,52,267,4.0,315,4.0,298,3.5,144,3.5,165,3.0,310,2.0,196,4.0,225,4.0
6,56,267,4.0,315,4.0,298,2.0,144,4.0,165,3.0,310,3.5,196,2.5,225,3.0
6,53,267,4.0,315,4.0,298,3.0,144,0.5,165,2.0,310,3.5,196,4.0,225,3.0
6,54,267,4.0,315,3.0,298,2.5,144,3.5,165,2.5,310,2.5,196,3.0,225,2.0
7,53,209,1.5,98,4.0,225,3.0,129,2.0,404,4.0,300,3.0,407,4.0,64,3.0
7,62,209,4.0,98,2.5,225,3.0,129,4.0,404,3.5,300,4.0,407,1.0,64,3.5
7,63,209,3.5,98,3.0,225,3.0,129,1.5,404,2.5,300,3.0,407,4.0,64,1.5
7,54,209,2.5,98,4.0,225,2.0,129,2.0,404,3.0,300,4.0,407,4.0,64,3.0
7,58,209,3.5,98,4.0,225,3.5,129,4.0,404,3.5,300,4.0,407,4.0,64,4.0
8,53,267,4.0,98,4.0,384,4.0,136,4.0,225,3.0,410,3.5,24,1.0,79,2.0
8,13,267,4.0,98,4.0,384,4.0,136,3.0,225,3.0,410,3.0,24,4.0,79,1.0
8,63,267,4.0,98,3.0,384,3.0,136,3.5,225,3.0,410,3.5,24,2.0,79,1.0
8,60,267,4.0,98,4.0,384,3.5,136,3.5,225,2.5,410,3.5,24,3.0,79,1.5
8,54,267,4.0,98,4.0,384,4.0,136,4.0,225,2.0,410,4.0,24,3.5,79,2.0
9,52,196,4.0,18,4.0,323,4.0,351,3.0,54,4.0,410,4.0,100,3.0,402,3.5
9,55,196,3.5,18,3.5,323,4.0,351,4.0,54,4.0,410,4.0,100,4.0,402,3.0
9,59,196,4.0,18,3.0,323,3.5,351,4.0,54,4.0,410,3.5,100,2.0,402,3.5
9,57,196,3.0,18,4.0,323,3.5,351,4.0,54,4.0,410,3.0,100,1.5,402,2.0
9,62,196,3.5,18,3.5,323,2.0,351,4.0,54,4.0,410,4.0,100,3.5,402,3.0
10,13,100,2.0,20,4.0,24,4.0,49,1.5,306,4.0,319,4.0,119,3.5,350,3.0
10,56,100,1.5,20,4.0,24,4.0,49,3.5,306,4.0,319,4.0,119,4.0,350,3.0
10,60,100,2.5,20,3.5,24,3.0,49,2.0,306,3.5,319,3.0,119,3.0,350,3.5
10,58,100,3.5,20,3.0,24,4.0,49,1.5,306,4.0,319,2.5,119,4.0,350,3.5
10,59,100,2.0,20,4.0,24,4.0,49,1.5,306,4.0,319,4.0,119,3.5,350,4.0
11,61,250,2.5,275,4.0,42,1.5,98,3.0,388,1.0,404,2.0,166,2.0,24,1.5
11,60,250,3.5,275,2.5,42,3.0,98,4.0,388,0.5,404,3.5,166,3.0,24,3.0
11,52,250,2.5,275,4.0,42,3.5,98,4.0,388,4.0,404,3.5,166,2.5,24,4.0
11,13,250,4.0,275,3.0,42,3.0,98,4.0,388,2.5,404,3.5,166,3.0,24,4.0
11,59,250,4.0,275,3.0,42,3.5,98,4.0,388,1.5,404,3.5,166,2.0,24,4.0
