group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8,user-9,rating-9
0,63,24,2.0,38,2.0,216,4.0,303,1.0,198,4.0,127,1.5,275,3.5,259,2.0,49,2.5
0,56,24,4.0,38,3.0,216,4.0,303,1.0,198,3.0,127,2.0,275,3.0,259,2.0,49,3.5
0,52,24,4.0,38,4.0,216,3.5,303,3.0,198,3.5,127,3.5,275,4.0,259,3.5,49,3.5
0,54,24,3.5,38,3.0,216,4.0,303,1.5,198,3.5,127,0.5,275,2.0,259,2.5,49,1.5
0,59,24,4.0,38,1.0,216,4.0,303,1.5,198,3.5,127,2.5,275,3.0,259,4.0,49,1.5
1,53,212,4.0,292,2.5,142,0.5,42,2.0,2,3.0,9,2.5,98,4.0,124,3.5,315,4.0
1,57,212,3.0,292,4.0,142,1.0,42,3.0,2,2.0,9,1.0,98,3.0,124,1.0,315,4.0
1,63,212,4.0,292,2.5,142,0.5,42,2.0,2,2.0,9,0.5,98,3.0,124,1.5,315,4.0
1,56,212,2.0,292,2.5,142,4.0,42,4.0,2,4.0,9,4.0,98,4.0,124,3.5,315,4.0
1,62,212,4.0,292,3.0,142,3.5,42,4.0,2,3.0,9,3.0,98,2.5,124,3.0,315,4.0
2,54,53,4.0,198,3.5,38,3.0,31,3.0,209,2.5,289,2.5,130,4.0,404,3.0,48,2.5
2,56,53,4.0,198,3.0,38,3.0,31,3.0,209,4.0,289,2.5,130,3.0,404,3.5,48,4.0
2,60,53,3.0,198,4.0,38,2.0,31,3.5,209,3.5,289,3.5,130,3.5,404,3.5,48,3.0
2,59,53,4.0,198,3.5,38,1.0,31,4.0,209,4.0,289,3.0,130,4.0,404,3.5,48,4.0
2,62,53,3.5,198,4.0,38,3.0,31,4.0,209,4.0,289,3.0,130,4.0,404,3.5,48,4.0
3,53,209,1.5,406,4.0,332,2.5,37,3.0,384,4.0,259,1.0,49,1.0,165,2.0,365,2.0
3,59,209,4.0,406,4.0,332,2.5,37,3.5,384,4.0,259,4.0,49,1.5,165,3.5,365,1.0
3,60,209,3.5,406,3.0,332,2.5,37,3.0,384,3.5,259,3.0,49,2.0,165,2.5,365,1.5
3,55,209,4.0,406,3.5,332,2.0,37,4.0,384,4.0,259,2.0,49,3.0,165,4.0,365,4.0
3,52,209,2.0,406,4.0,332,3.0,37,3.0,384,3.0,259,3.5,49,3.5,165,3.0,365,0.5
4,55,267,4.0,225,3.0,90,4.0,300,3.0,332,2.0,158,3.5,54,4.0,14,4.0,407,2.0
