group,item,user-1,rating-1,user-2,rating-2
0,49,294,3.0,1433,4.0
0,768,294,3.0,1433,2.0
0,119,294,5.0,1433,4.0
0,473,294,4.0,1433,3.0
0,227,294,1.0,1433,1.0
1,110,1253,5.0,294,4.0
1,733,1253,3.0,294,2.0
1,547,1253,4.0,294,5.0
1,188,1253,3.0,294,1.0
1,184,1253,1.0,294,1.0
2,882,1638,2.0,406,4.0
2,277,1638,2.0,406,3.0
2,44,1638,3.0,406,5.0
2,23,1638,4.0,406,5.0
2,378,1638,5.0,406,3.0
3,69,146,5.0,167,3.0
3,270,146,4.0,167,3.0
3,590,146,4.0,167,3.0
3,346,146,4.0,167,3.0
3,219,146,3.0,167,4.0
4,792,461,2.0,603,2.0
4,367,461,3.0,603,4.0
4,209,461,4.0,603,4.0
4,114,461,4.0,603,5.0
4,43,461,5.0,603,4.0
5,331,166,3.0,1314,1.0
5,229,166,5.0,1314,5.0
5,26,166,2.0,1314,4.0
5,564,166,4.0,1314,2.0
5,323,166,4.0,1314,3.0
6,718,453,2.0,1093,1.0
6,63,453,4.0,1093,5.0
6,33,453,4.0,1093,3.0
6,643,453,3.0,1093,1.0
6,114,453,5.0,1093,5.0
7,356,294,5.0,967,4.0
7,336,294,2.0,967,2.0
7,126,294,3.0,967,4.0
7,188,294,1.0,967,5.0
7,444,294,5.0,967,1.0
8,231,717,5.0,254,5.0
8,278,717,2.0,254,2.0
8,21,717,4.0,254,3.0
8,44,717,5.0,254,4.0
8,55,717,4.0,254,1.0
9,719,197,2.0,967,3.0
9,217,197,1.0,967,3.0
9,541,197,2.0,967,4.0
9,22,197,3.0,967,5.0
9,459,197,2.0,967,4.0
10,69,555,3.0,1314,5.0
10,522,555,1.0,1314,1.0
10,246,555,4.0,1314,4.0
10,377,555,4.0,1314,3.0
10,88,555,1.0,1314,4.0
11,148,967,3.0,254,2.0
11,173,967,4.0,254,3.0
11,756,967,2.0,254,1.0
11,110,967,5.0,254,3.0
11,6,967,4.0,254,3.0
12,775,146,2.0,468,1.0
12,343,146,2.0,468,3.0
