group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3
0,52,167,4.0,585,3.0,397,3.0
0,25,167,3.0,585,4.0,397,2.0
0,157,167,4.0,585,3.0,397,5.0
0,322,167,2.0,585,2.0,397,1.0
0,177,167,5.0,585,4.0,397,5.0
1,651,281,1.0,166,1.0,1564,1.0
1,214,281,3.0,166,5.0,1564,3.0
1,662,281,3.0,166,1.0,1564,1.0
1,266,281,3.0,166,4.0,1564,1.0
1,217,281,1.0,166,4.0,1564,2.0
2,266,378,4.0,1334,4.0,254,3.0
2,107,378,4.0,1334,3.0,254,3.0
2,455,378,4.0,1334,3.0,254,3.0
2,62,378,4.0,1334,4.0,254,4.0
2,657,378,1.0,1334,2.0,254,1.0
3,27,967,3.0,1694,3.0,1606,4.0
3,591,967,4.0,1694,3.0,1606,4.0
3,208,967,4.0,1694,5.0,1606,5.0
3,58,967,2.0,1694,4.0,1606,4.0
3,294,967,3.0,1694,4.0,1606,4.0
4,274,101,4.0,1564,3.0,293,3.0
4,346,101,2.0,1564,1.0,293,3.0
4,134,101,2.0,1564,1.0,293,2.0
4,63,101,4.0,1564,3.0,293,3.0
4,140,101,1.0,1564,5.0,293,3.0
5,124,1564,3.0,1093,4.0,585,3.0
5,86,1564,5.0,1093,4.0,585,5.0
5,201,1564,2.0,1093,1.0,585,3.0
5,214,1564,3.0,1093,3.0,585,2.0
5,362,1564,3.0,1093,4.0,585,4.0
6,61,532,5.0,1314,4.0,1694,4.0
6,690,532,3.0,1314,3.0,1694,4.0
6,161,532,3.0,1314,2.0,1694,4.0
6,661,532,3.0,1314,3.0,1694,4.0
6,154,532,3.0,1314,5.0,1694,4.0
7,234,1694,5.0,254,4.0,1606,5.0
7,481,1694,2.0,254,1.0,1606,2.0
7,426,1694,4.0,254,3.0,1606,5.0
7,260,1694,4.0,254,2.0,1606,5.0
7,266,1694,3.0,254,3.0,1606,4.0
8,145,967,2.0,293,3.0,585,1.0
8,513,967,1.0,293,2.0,585,3.0
8,16,967,5.0,293,4.0,585,4.0
8,413,967,4.0,293,2.0,585,3.0
8,144,967,4.0,293,3.0,585,3.0
9,539,294,2.0,1564,2.0,585,2.0
9,579,294,5.0,1564,3.0,585,3.0
9,586,294,2.0,1564,3.0,585,3.0
9,398,294,2.0,1564,4.0,585,2.0
9,191,294,1.0,1564,1.0,585,3.0
10,579,281,1.0,585,3.0,1564,3.0
10,215,281,4.0,585,2.0,1564,3.0
10,296,281,2.0,585,3.0,1564,4.0
10,529,281,1.0,585,1.0,1564,1.0
10,31,281,1.0,585,4.0,1564,3.0
11,30,623,3.0,1564,3.0,405,5.0
11,49,623,4.0,1564,5.0,405,4.0
11,662,623,1.0,1564,1.0,405,1.0
11,273,623,2.0,1564,1.0,405,1.0
11,539,623,3.0,1564,2.0,405,4.0
12,388,78,2.0,456,2.0,572,4.0
12,110,78,2.0,456,3.0,572,4.0
12,248,78,5.0,456,3.0,572,4.0
12,34,78,4.0,456,3.0,572,4.0
12,538,78,3.0,456,2.0,572,2.0
13,160,967,3.0,1093,3.0,146,3.0
13,49,967,5.0,1093,5.0,146,4.0
13,483,967,3.0,1093,3.0,146,2.0
13,93,967,4.0,1093,3.0,146,3.0
13,123,967,4.0,1093,4.0,146,3.0
14,173,1564,3.0,251,2.0,967,4.0
14,307,1564,1.0,251,2.0,967,4.0
14,374,1564,3.0,251,4.0,967,3.0
14,198,1564,2.0,251,5.0,967,4.0
14,93,1564,3.0,251,3.0,967,4.0
15,585,726,3.0,166,3.0,456,1.0
15,32,726,3.0,166,4.0,456,3.0
15,310,726,5.0,166,5.0,456,4.0
15,190,726,3.0,166,4.0,456,3.0
15,724,726,4.0,166,5.0,456,5.0
16,45,1239,4.0,101,3.0,1253,4.0
16,391,1239,5.0,101,2.0,1253,4.0
16,167,1239,2.0,101,2.0,1253,2.0
16,197,1239,3.0,101,2.0,1253,4.0
16,110,1239,5.0,101,4.0,1253,5.0
17,274,1006,5.0,1711,3.0,1093,3.0
17,658,1006,4.0,1711,2.0,1093,1.0
17,70,1006,3.0,1711,2.0,1093,1.0
17,377,1006,4.0,1711,3.0,1093,5.0
17,81,1006,5.0,1711,3.0,1093,5.0
18,209,281,3.0,1270,2.0,167,5.0
18,424,281,3.0,1270,4.0,167,4.0
18,27,281,2.0,1270,2.0,167,5.0
18,62,281,4.0,1270,5.0,167,4.0
18,629,281,1.0,1270,4.0,167,2.0
19,695,146,4.0,227,1.0,967,3.0
19,213,146,2.0,227,1.0,967,3.0
19,92,146,3.0,227,2.0,967,5.0
19,191,146,3.0,227,3.0,967,2.0
19,132,146,3.0,227,3.0,967,3.0
20,472,1057,2.0,133,3.0,602,1.0
20,98,1057,3.0,133,3.0,602,4.0
20,326,1057,2.0,133,2.0,602,1.0
20,738,1057,3.0,133,3.0,602,4.0
20,144,1057,3.0,133,3.0,602,2.0
21,343,1694,3.0,1314,2.0,166,4.0
21,96,1694,5.0,1314,2.0,166,4.0
21,406,1694,3.0,1314,4.0,166,4.0
21,110,1694,4.0,1314,5.0,166,5.0
21,288,1694,3.0,1314,4.0,166,4.0
22,63,293,3.0,1552,3.0,1642,4.0
22,97,293,3.0,1552,3.0,1642,3.0
22,61,293,4.0,1552,4.0,1642,5.0
22,5,293,3.0,1552,4.0,1642,3.0
22,1,293,4.0,1552,3.0,1642,4.0
23,212,840,4.0,585,2.0,865,5.0
23,471,840,4.0,585,4.0,865,5.0
23,230,840,3.0,585,3.0,865,4.0
23,735,840,3.0,585,3.0,865,5.0
23,348,840,4.0,585,4.0,865,4.0
24,48,999,5.0,254,3.0,717,5.0
24,343,999,2.0,254,3.0,717,3.0
24,96,999,4.0,254,2.0,717,2.0
24,538,999,3.0,254,3.0,717,3.0
24,90,999,2.0,254,4.0,717,3.0
25,766,1564,1.0,294,1.0,453,2.0
25,38,1564,4.0,294,5.0,453,3.0
25,398,1564,4.0,294,2.0,453,4.0
25,165,1564,2.0,294,3.0,453,2.0
25,37,1564,4.0,294,4.0,453,3.0
26,469,397,4.0,602,2.0,1564,1.0
26,268,397,3.0,602,2.0,1564,2.0
26,438,397,5.0,602,5.0,1564,5.0
26,146,397,4.0,602,2.0,1564,3.0
26,306,397,3.0,602,1.0,1564,1.0
27,264,167,3.0,406,4.0,820,4.0
27,49,167,5.0,406,5.0,820,4.0
27,316,167,3.0,406,4.0,820,2.0
27,10,167,3.0,406,4.0,820,3.0
27,379,167,5.0,406,5.0,820,2.0
28,334,133,4.0,1638,3.0,977,4.0
28,1,133,4.0,1638,3.0,977,4.0
28,110,133,2.0,1638,3.0,977,5.0
28,538,133,3.0,1638,3.0,977,3.0
28,69,133,4.0,1638,5.0,977,5.0
29,73,585,4.0,1711,5.0,1017,1.0
29,719,585,2.0,1711,3.0,1017,3.0
29,213,585,2.0,1711,3.0,1017,5.0
29,97,585,5.0,1711,3.0,1017,4.0
29,143,585,2.0,1711,4.0,1017,4.0
30,94,967,5.0,1314,4.0,1611,2.0
30,467,967,3.0,1314,2.0,1611,3.0
30,184,967,3.0,1314,3.0,1611,2.0
30,592,967,4.0,1314,2.0,1611,1.0
30,271,967,2.0,1314,3.0,1611,3.0
31,375,281,5.0,585,4.0,1093,4.0
31,775,281,1.0,585,3.0,1093,1.0
31,181,281,1.0,585,4.0,1093,5.0
31,38,281,4.0,585,4.0,1093,5.0
31,651,281,1.0,585,3.0,1093,2.0
32,668,78,3.0,405,4.0,1253,4.0
32,574,78,3.0,405,3.0,1253,5.0
32,0,78,1.0,405,3.0,1253,4.0
32,161,78,3.0,405,4.0,1253,2.0
32,160,78,4.0,405,3.0,1253,3.0
33,675,999,2.0,585,1.0,1006,2.0
33,213,999,4.0,585,2.0,1006,4.0
33,46,999,5.0,585,3.0,1006,4.0
33,430,999,4.0,585,2.0,1006,4.0
33,356,999,3.0,585,3.0,1006,4.0
34,43,1006,5.0,585,5.0,294,5.0
34,709,1006,4.0,585,2.0,294,1.0
34,132,1006,3.0,585,1.0,294,1.0
34,57,1006,4.0,585,2.0,294,4.0
34,307,1006,4.0,585,4.0,294,3.0
35,94,133,4.0,1564,3.0,166,2.0
35,164,133,4.0,1564,3.0,166,5.0
35,579,133,3.0,1564,3.0,166,1.0
35,120,133,3.0,1564,1.0,166,1.0
35,346,133,1.0,1564,1.0,166,4.0
36,292,971,5.0,1694,3.0,1303,4.0
36,293,971,4.0,1694,3.0,1303,4.0
36,498,971,5.0,1694,4.0,1303,4.0
36,54,971,4.0,1694,4.0,1303,3.0
36,223,971,4.0,1694,4.0,1303,4.0
37,118,1084,2.0,967,3.0,1564,2.0
37,215,1084,2.0,967,4.0,1564,3.0
37,367,1084,3.0,967,3.0,1564,1.0
37,11,1084,4.0,967,5.0,1564,4.0
37,160,1084,2.0,967,3.0,1564,3.0
38,387,1564,1.0,1253,3.0,585,3.0
38,162,1564,3.0,1253,3.0,585,4.0
38,187,1564,4.0,1253,4.0,585,4.0
38,278,1564,4.0,1253,3.0,585,2.0
38,329,1564,1.0,1253,1.0,585,3.0
39,487,109,1.0,1564,3.0,133,3.0
39,117,109,3.0,1564,2.0,133,4.0
39,123,109,2.0,1564,1.0,133,2.0
39,478,109,3.0,1564,2.0,133,1.0
39,183,109,4.0,1564,4.0,133,4.0
40,393,1084,2.0,461,3.0,166,4.0
40,133,1084,3.0,461,5.0,166,2.0
40,185,1084,5.0,461,5.0,166,5.0
40,283,1084,3.0,461,4.0,166,4.0
40,323,1084,3.0,461,4.0,166,4.0
41,283,78,3.0,461,4.0,1564,4.0
41,145,78,2.0,461,4.0,1564,3.0
41,414,78,2.0,461,2.0,1564,3.0
41,143,78,2.0,461,4.0,1564,2.0
41,521,78,2.0,461,2.0,1564,1.0
42,697,1564,2.0,453,2.0,967,1.0
42,111,1564,3.0,453,3.0,967,5.0
42,72,1564,4.0,453,4.0,967,5.0
42,798,1564,2.0,453,2.0,967,4.0
42,389,1564,3.0,453,4.0,967,5.0
43,231,1314,4.0,1564,4.0,1694,4.0
43,149,1314,4.0,1564,3.0,1694,4.0
43,167,1314,2.0,1564,2.0,1694,3.0
43,492,1314,5.0,1564,4.0,1694,4.0
43,138,1314,2.0,1564,2.0,1694,3.0
44,449,806,3.0,101,3.0,1253,5.0
44,106,806,2.0,101,2.0,1253,2.0
44,541,806,2.0,101,4.0,1253,3.0
44,64,806,3.0,101,2.0,1253,1.0
44,42,806,2.0,101,3.0,1253,2.0
45,385,1084,3.0,585,3.0,254,4.0
45,532,1084,4.0,585,3.0,254,4.0
45,100,1084,2.0,585,5.0,254,2.0
45,351,1084,2.0,585,3.0,254,1.0
45,356,1084,4.0,585,3.0,254,4.0
46,162,1433,3.0,228,3.0,585,4.0
46,471,1433,3.0,228,1.0,585,4.0
46,324,1433,2.0,228,3.0,585,1.0
46,137,1433,3.0,228,3.0,585,4.0
46,136,1433,2.0,228,3.0,585,3.0
47,568,1253,5.0,806,3.0,1314,4.0
47,107,1253,3.0,806,2.0,1314,4.0
47,674,1253,5.0,806,3.0,1314,4.0
47,129,1253,5.0,806,5.0,1314,5.0
47,840,1253,2.0,806,3.0,1314,3.0
48,428,1253,5.0,1158,5.0,54,5.0
48,587,1253,3.0,1158,4.0,54,3.0
48,590,1253,3.0,1158,4.0,54,5.0
48,202,1253,3.0,1158,3.0,54,3.0
48,310,1253,5.0,1158,5.0,54,5.0
49,474,1182,4.0,1694,4.0,967,4.0
49,323,1182,4.0,1694,3.0,967,4.0
49,145,1182,4.0,1694,4.0,967,2.0
49,212,1182,3.0,1694,3.0,967,5.0
49,207,1182,4.0,1694,4.0,967,5.0
50,431,1699,4.0,244,4.0,1642,5.0
50,454,1699,4.0,244,4.0,1642,3.0
50,341,1699,4.0,244,4.0,1642,3.0
50,465,1699,4.0,244,3.0,1642,4.0
50,71,1699,5.0,244,4.0,1642,4.0
51,367,603,4.0,18,2.0,585,3.0
51,162,603,4.0,18,2.0,585,4.0
51,23,603,5.0,18,4.0,585,5.0
51,340,603,3.0,18,1.0,585,1.0
51,351,603,3.0,18,2.0,585,3.0
52,9,1694,3.0,406,4.0,726,3.0
52,270,1694,3.0,406,4.0,726,2.0
52,392,1694,5.0,406,5.0,726,3.0
52,6,1694,4.0,406,4.0,726,3.0
52,555,1694,4.0,406,5.0,726,3.0
53,590,1270,3.0,1694,4.0,1606,4.0
53,428,1270,2.0,1694,5.0,1606,5.0
53,339,1270,1.0,1694,4.0,1606,4.0
53,359,1270,4.0,1694,4.0,1606,5.0
53,193,1270,4.0,1694,4.0,1606,4.0
54,427,623,5.0,483,4.0,166,5.0
54,425,623,3.0,483,3.0,166,2.0
54,138,623,3.0,483,3.0,166,4.0
54,197,623,5.0,483,4.0,166,4.0
54,199,623,1.0,483,3.0,166,5.0
55,54,1303,3.0,1314,2.0,166,5.0
55,73,1303,4.0,1314,4.0,166,5.0
55,323,1303,3.0,1314,3.0,166,4.0
55,170,1303,4.0,1314,4.0,166,5.0
55,799,1303,3.0,1314,1.0,166,1.0
