group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5
0,173,603,5.0,378,3.0,840,4.0,1642,4.0,999,4.0
0,153,603,2.0,378,3.0,840,2.0,1642,1.0,999,1.0
0,180,603,4.0,378,4.0,840,4.0,1642,4.0,999,4.0
0,137,603,4.0,378,4.0,840,4.0,1642,4.0,999,2.0
0,444,603,4.0,378,5.0,840,3.0,1642,3.0,999,1.0
1,234,78,4.0,1694,5.0,1210,5.0,632,5.0,1253,5.0
1,663,78,1.0,1694,3.0,1210,1.0,632,3.0,1253,1.0
1,283,78,3.0,1694,4.0,1210,3.0,632,4.0,1253,3.0
1,113,78,2.0,1694,4.0,1210,3.0,632,4.0,1253,4.0
1,40,78,5.0,1694,5.0,1210,4.0,632,3.0,1253,4.0
2,160,1314,2.0,167,5.0,1603,4.0,1253,3.0,1642,3.0
2,592,1314,2.0,167,4.0,1603,3.0,1253,4.0,1642,3.0
2,214,1314,3.0,167,4.0,1603,5.0,1253,5.0,1642,5.0
2,16,1314,3.0,167,5.0,1603,5.0,1253,4.0,1642,4.0
2,247,1314,3.0,167,4.0,1603,5.0,1253,3.0,1642,1.0
3,321,1334,2.0,820,3.0,1561,2.0,1122,2.0,1694,3.0
3,174,1334,4.0,820,3.0,1561,4.0,1122,2.0,1694,4.0
3,105,1334,3.0,820,1.0,1561,3.0,1122,2.0,1694,4.0
3,163,1334,4.0,820,3.0,1561,4.0,1122,3.0,1694,4.0
3,183,1334,4.0,820,4.0,1561,4.0,1122,3.0,1694,4.0
4,288,1006,3.0,1314,4.0,101,2.0,1694,3.0,167,3.0
4,219,1006,5.0,1314,3.0,101,4.0,1694,4.0,167,4.0
4,24,1006,4.0,1314,2.0,101,3.0,1694,3.0,167,3.0
4,21,1006,4.0,1314,3.0,101,2.0,1694,4.0,167,3.0
4,459,1006,4.0,1314,1.0,101,4.0,1694,4.0,167,4.0
5,649,1563,3.0,834,5.0,603,2.0,602,1.0,281,2.0
5,377,1563,3.0,834,2.0,603,4.0,602,3.0,281,2.0
5,273,1563,3.0,834,2.0,603,3.0,602,1.0,281,2.0
5,144,1563,4.0,834,3.0,603,4.0,602,2.0,281,2.0
5,51,1563,5.0,834,3.0,603,5.0,602,4.0,281,5.0
