group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6
0,15,967,5.0,294,5.0,1093,5.0,332,3.0,713,4.0,1314,3.0
0,373,967,3.0,294,1.0,1093,3.0,332,2.0,713,3.0,1314,2.0
0,375,967,3.0,294,5.0,1093,4.0,332,4.0,713,3.0,1314,4.0
0,321,967,4.0,294,4.0,1093,2.0,332,3.0,713,3.0,1314,2.0
0,184,967,3.0,294,1.0,1093,3.0,332,3.0,713,3.0,1314,3.0
1,430,1694,2.0,330,3.0,603,3.0,1638,3.0,1314,1.0,943,4.0
1,568,1694,4.0,330,4.0,603,4.0,1638,4.0,1314,4.0,943,4.0
1,135,1694,4.0,330,4.0,603,4.0,1638,2.0,1314,3.0,943,3.0
1,16,1694,4.0,330,5.0,603,4.0,1638,2.0,1314,3.0,943,3.0
1,129,1694,5.0,330,5.0,603,3.0,1638,5.0,1314,5.0,943,5.0
2,336,1065,2.0,603,4.0,853,2.0,133,2.0,834,2.0,468,2.0
2,309,1065,2.0,603,3.0,853,2.0,133,2.0,834,3.0,468,4.0
2,119,1065,4.0,603,5.0,853,3.0,133,4.0,834,3.0,468,5.0
2,191,1065,4.0,603,3.0,853,2.0,133,4.0,834,2.0,468,3.0
2,193,1065,4.0,603,4.0,853,5.0,133,4.0,834,5.0,468,5.0
3,43,1006,5.0,167,5.0,1433,5.0,520,3.0,1565,5.0,1694,5.0
3,253,1006,4.0,167,3.0,1433,4.0,520,3.0,1565,2.0,1694,3.0
3,108,1006,5.0,167,4.0,1433,5.0,520,4.0,1565,5.0,1694,4.0
3,119,1006,5.0,167,4.0,1433,4.0,520,3.0,1565,4.0,1694,4.0
3,210,1006,5.0,167,4.0,1433,3.0,520,5.0,1565,5.0,1694,4.0
4,638,405,1.0,1314,1.0,281,1.0,1025,1.0,461,1.0,78,1.0
4,290,405,1.0,1314,3.0,281,2.0,1025,4.0,461,4.0,78,2.0
4,442,405,3.0,1314,2.0,281,1.0,1025,2.0,461,4.0,78,1.0
4,183,405,5.0,1314,5.0,281,5.0,1025,5.0,461,4.0,78,3.0
4,185,405,3.0,1314,4.0,281,4.0,1025,3.0,461,5.0,78,2.0
5,162,1698,4.0,1093,4.0,834,5.0,1025,3.0,1314,3.0,1235,5.0
5,172,1698,5.0,1093,1.0,834,4.0,1025,1.0,1314,1.0,1235,5.0
5,277,1698,5.0,1093,4.0,834,2.0,1025,3.0,1314,2.0,1235,4.0
5,339,1698,4.0,1093,3.0,834,3.0,1025,4.0,1314,2.0,1235,3.0
5,649,1698,4.0,1093,4.0,834,5.0,1025,1.0,1314,3.0,1235,3.0
6,597,166,1.0,1093,3.0,1564,1.0,967,2.0,1054,2.0,1253,1.0
6,199,166,5.0,1093,1.0,1564,3.0,967,3.0,1054,4.0,1253,3.0
6,202,166,4.0,1093,5.0,1564,3.0,967,4.0,1054,4.0,1253,3.0
6,416,166,5.0,1093,2.0,1564,3.0,967,5.0,1054,5.0,1253,4.0
6,46,166,5.0,1093,4.0,1564,3.0,967,5.0,1054,1.0,1253,4.0
7,538,1253,4.0,806,2.0,1158,5.0,1093,3.0,834,5.0,965,2.0
7,328,1253,4.0,806,4.0,1158,4.0,1093,2.0,834,1.0,965,3.0
7,128,1253,5.0,806,5.0,1158,5.0,1093,3.0,834,3.0,965,4.0
7,355,1253,4.0,806,2.0,1158,5.0,1093,2.0,834,3.0,965,3.0
7,193,1253,5.0,806,4.0,1158,4.0,1093,5.0,834,5.0,965,4.0
8,358,1181,3.0,1314,4.0,1564,4.0,967,5.0,107,4.0,166,5.0
8,27,1181,1.0,1314,2.0,1564,3.0,967,3.0,107,2.0,166,3.0
8,411,1181,1.0,1314,2.0,1564,1.0,967,1.0,107,3.0,166,4.0
8,322,1181,4.0,1314,3.0,1564,3.0,967,4.0,107,5.0,166,5.0
8,177,1181,1.0,1314,3.0,1564,4.0,967,3.0,107,5.0,166,5.0
9,119,1564,4.0,1210,4.0,1047,5.0,967,5.0,834,3.0,603,5.0
9,209,1564,4.0,1210,2.0,1047,2.0,967,5.0,834,3.0,603,4.0
9,23,1564,5.0,1210,3.0,1047,5.0,967,5.0,834,3.0,603,5.0
9,309,1564,2.0,1210,2.0,1047,1.0,967,2.0,834,3.0,603,3.0
9,152,1564,4.0,1210,3.0,1047,4.0,967,5.0,834,4.0,603,3.0
10,577,1006,2.0,857,4.0,585,4.0,1182,3.0,1564,2.0,52,2.0
10,86,1006,3.0,857,3.0,585,5.0,1182,4.0,1564,5.0,52,4.0
10,268,1006,4.0,857,4.0,585,3.0,1182,3.0,1564,2.0,52,2.0
10,411,1006,1.0,857,5.0,585,4.0,1182,1.0,1564,1.0,52,2.0
10,127,1006,5.0,857,4.0,585,3.0,1182,5.0,1564,3.0,52,4.0
11,93,18,2.0,1564,3.0,166,5.0,254,1.0,453,3.0,146,3.0
11,280,18,3.0,1564,3.0,166,5.0,254,2.0,453,4.0,146,3.0
11,354,18,3.0,1564,3.0,166,4.0,254,3.0,453,5.0,146,4.0
11,99,18,4.0,1564,2.0,166,3.0,254,2.0,453,4.0,146,5.0
11,12,18,4.0,1564,5.0,166,5.0,254,4.0,453,3.0,146,4.0
12,487,1611,3.0,1253,4.0,1314,4.0,1158,4.0,1006,4.0,1026,5.0
12,181,1611,4.0,1253,2.0,1314,4.0,1158,4.0,1006,5.0,1026,3.0
12,169,1611,5.0,1253,5.0,1314,4.0,1158,5.0,1006,5.0,1026,5.0
12,559,1611,3.0,1253,3.0,1314,1.0,1158,3.0,1006,3.0,1026,4.0
12,163,1611,3.0,1253,5.0,1314,4.0,1158,5.0,1006,4.0,1026,5.0
13,321,840,3.0,468,4.0,1564,2.0,1606,4.0,585,3.0,1235,5.0
13,106,840,4.0,468,4.0,1564,3.0,1606,4.0,585,3.0,1235,5.0
13,16,840,4.0,468,5.0,1564,3.0,1606,4.0,585,4.0,1235,4.0
13,533,840,4.0,468,1.0,1564,2.0,1606,3.0,585,2.0,1235,2.0
13,212,840,4.0,468,4.0,1564,2.0,1606,4.0,585,2.0,1235,2.0
14,32,806,3.0,1084,4.0,217,2.0,1564,4.0,999,2.0,834,5.0
