group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7
0,62,1552,4.0,1399,3.0,251,5.0,254,4.0,1334,4.0,1694,4.0,1100,3.0
0,481,1552,3.0,1399,3.0,251,2.0,254,1.0,1334,1.0,1694,2.0,1100,2.0
0,216,1552,5.0,1399,4.0,251,2.0,254,4.0,1334,3.0,1694,4.0,1100,4.0
0,127,1552,5.0,1399,4.0,251,3.0,254,3.0,1334,4.0,1694,4.0,1100,5.0
0,38,1552,4.0,1399,2.0,251,5.0,254,3.0,1334,2.0,1694,4.0,1100,4.0
1,16,405,4.0,1314,3.0,820,5.0,1544,3.0,294,3.0,1377,4.0,735,3.0
1,379,405,5.0,1314,5.0,820,2.0,1544,5.0,294,1.0,1377,4.0,735,4.0
1,375,405,3.0,1314,4.0,820,3.0,1544,4.0,294,5.0,1377,5.0,735,3.0
1,179,405,4.0,1314,1.0,820,3.0,1544,4.0,294,3.0,1377,4.0,735,3.0
1,19,405,5.0,1314,2.0,820,4.0,1544,4.0,294,4.0,1377,3.0,735,3.0
2,31,1182,4.0,461,3.0,585,4.0,281,1.0,1314,3.0,1270,1.0,865,4.0
2,382,1182,3.0,461,2.0,585,2.0,281,1.0,1314,2.0,1270,2.0,865,5.0
2,768,1182,2.0,461,3.0,585,4.0,281,1.0,1314,2.0,1270,4.0,865,3.0
2,393,1182,4.0,461,3.0,585,3.0,281,1.0,1314,2.0,1270,2.0,865,5.0
2,172,1182,1.0,461,5.0,585,5.0,281,2.0,1314,1.0,1270,1.0,865,4.0
3,68,1638,4.0,1093,5.0,1694,4.0,865,4.0,1006,4.0,166,5.0,1253,4.0
3,219,1638,4.0,1093,4.0,1694,4.0,865,4.0,1006,5.0,166,5.0,1253,4.0
3,588,1638,2.0,1093,2.0,1694,3.0,865,5.0,1006,3.0,166,4.0,1253,3.0
3,38,1638,5.0,1093,5.0,1694,4.0,865,4.0,1006,5.0,166,5.0,1253,5.0
3,389,1638,2.0,1093,4.0,1694,4.0,865,5.0,1006,3.0,166,3.0,1253,3.0
4,193,1253,5.0,1564,4.0,406,5.0,281,4.0,603,4.0,294,4.0,865,5.0
4,357,1253,3.0,1564,2.0,406,4.0,281,2.0,603,3.0,294,5.0,865,5.0
4,276,1253,1.0,1564,3.0,406,4.0,281,3.0,603,4.0,294,2.0,865,4.0
4,266,1253,3.0,1564,1.0,406,5.0,281,3.0,603,4.0,294,3.0,865,3.0
4,184,1253,1.0,1564,2.0,406,3.0,281,3.0,603,3.0,294,1.0,865,5.0
5,106,603,5.0,444,3.0,967,5.0,864,3.0,602,2.0,453,4.0,97,3.0
5,166,603,4.0,444,4.0,967,5.0,864,4.0,602,2.0,453,3.0,97,5.0
5,357,603,3.0,444,3.0,967,5.0,864,4.0,602,2.0,453,4.0,97,3.0
5,96,603,5.0,444,1.0,967,5.0,864,4.0,602,3.0,453,2.0,97,3.0
5,365,603,3.0,444,4.0,967,3.0,864,4.0,602,1.0,453,3.0,97,2.0
6,377,1433,3.0,520,4.0,967,4.0,107,4.0,397,5.0,1564,2.0,1093,5.0
6,1,1433,3.0,520,4.0,967,5.0,107,4.0,397,4.0,1564,4.0,1093,4.0
6,322,1433,3.0,520,4.0,967,4.0,107,5.0,397,1.0,1564,3.0,1093,3.0
6,556,1433,3.0,520,4.0,967,4.0,107,4.0,397,4.0,1564,3.0,1093,4.0
6,269,1433,2.0,520,2.0,967,3.0,107,3.0,397,2.0,1564,1.0,1093,1.0
7,109,999,3.0,520,4.0,166,5.0,603,4.0,1694,5.0,1093,5.0,64,4.0
7,198,999,4.0,520,4.0,166,4.0,603,5.0,1694,4.0,1093,5.0,64,3.0
7,316,999,1.0,520,2.0,166,3.0,603,3.0,1694,3.0,1093,2.0,64,2.0
7,119,999,3.0,520,3.0,166,5.0,603,5.0,1694,4.0,1093,5.0,64,4.0
7,416,999,1.0,520,2.0,166,5.0,603,4.0,1694,4.0,1093,2.0,64,3.0
8,283,1006,5.0,1694,4.0,166,4.0,1314,3.0,1093,4.0,967,3.0,519,2.0
8,215,1006,4.0,1694,4.0,166,2.0,1314,2.0,1093,4.0,967,4.0,519,4.0
8,107,1006,3.0,1694,4.0,166,2.0,1314,4.0,1093,5.0,967,4.0,519,1.0
8,129,1006,5.0,1694,5.0,166,5.0,1314,5.0,1093,5.0,967,5.0,519,5.0
8,232,1006,5.0,1694,4.0,166,5.0,1314,4.0,1093,4.0,967,4.0,519,4.0
9,58,451,4.0,1552,4.0,1144,4.0,865,5.0,1182,4.0,967,2.0,1017,4.0
9,183,451,5.0,1552,4.0,1144,3.0,865,5.0,1182,4.0,967,5.0,1017,5.0
9,44,451,4.0,1552,4.0,1144,5.0,865,5.0,1182,4.0,967,5.0,1017,5.0
9,81,451,3.0,1552,5.0,1144,4.0,865,5.0,1182,5.0,967,5.0,1017,3.0
9,6,451,3.0,1552,4.0,1144,4.0,865,5.0,1182,4.0,967,4.0,1017,3.0
10,480,470,4.0,943,1.0,1564,3.0,486,4.0,309,3.0,999,3.0,580,2.0
10,16,470,3.0,943,3.0,1564,3.0,486,3.0,309,4.0,999,2.0,580,4.0
