group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8
0,109,585,3.0,468,2.0,834,3.0,461,5.0,332,4.0,483,5.0,853,3.0,815,2.0
0,41,585,3.0,468,4.0,834,5.0,461,4.0,332,3.0,483,3.0,853,3.0,815,3.0
0,472,585,3.0,468,4.0,834,3.0,461,2.0,332,1.0,483,3.0,853,2.0,815,2.0
0,179,585,2.0,468,3.0,834,2.0,461,4.0,332,4.0,483,3.0,853,4.0,815,2.0
0,145,585,1.0,468,4.0,834,4.0,461,4.0,332,2.0,483,3.0,853,4.0,815,4.0
1,129,107,5.0,1638,5.0,936,5.0,453,4.0,405,5.0,1564,5.0,281,3.0,1253,5.0
1,25,107,4.0,1638,1.0,936,3.0,453,4.0,405,2.0,1564,1.0,281,2.0,1253,2.0
1,246,107,4.0,1638,3.0,936,5.0,453,3.0,405,4.0,1564,4.0,281,4.0,1253,4.0
1,50,107,4.0,1638,5.0,936,5.0,453,2.0,405,3.0,1564,4.0,281,4.0,1253,4.0
1,165,107,4.0,1638,2.0,936,4.0,453,2.0,405,4.0,1564,2.0,281,1.0,1253,4.0
2,106,988,5.0,1564,3.0,351,4.0,585,3.0,468,4.0,623,2.0,254,4.0,1253,2.0
2,521,988,1.0,1564,1.0,351,3.0,585,1.0,468,3.0,623,3.0,254,2.0,1253,2.0
2,43,988,4.0,1564,3.0,351,5.0,585,5.0,468,5.0,623,4.0,254,3.0,1253,5.0
2,423,988,1.0,1564,2.0,351,3.0,585,3.0,468,2.0,623,2.0,254,3.0,1253,4.0
2,23,988,1.0,1564,5.0,351,5.0,585,5.0,468,4.0,623,5.0,254,5.0,1253,2.0
3,21,1250,3.0,18,3.0,311,5.0,251,5.0,64,4.0,999,4.0,229,2.0,1479,2.0
3,25,1250,4.0,18,4.0,311,1.0,251,3.0,64,4.0,999,3.0,229,1.0,1479,2.0
3,98,1250,3.0,18,3.0,311,3.0,251,4.0,64,3.0,999,2.0,229,4.0,1479,3.0
3,8,1250,5.0,18,5.0,311,5.0,251,5.0,64,5.0,999,4.0,229,4.0,1479,4.0
3,181,1250,3.0,18,2.0,311,4.0,251,4.0,64,2.0,999,4.0,229,3.0,1479,3.0
4,180,1006,3.0,468,4.0,834,5.0,1564,3.0,1253,3.0,585,3.0,1182,4.0,1433,3.0
4,200,1006,5.0,468,4.0,834,5.0,1564,3.0,1253,4.0,585,4.0,1182,5.0,1433,4.0
4,35,1006,5.0,468,5.0,834,4.0,1564,4.0,1253,1.0,585,3.0,1182,4.0,1433,4.0
4,521,1006,3.0,468,3.0,834,2.0,1564,1.0,1253,2.0,585,1.0,1182,2.0,1433,2.0
4,329,1006,4.0,468,2.0,834,3.0,1564,1.0,1253,1.0,585,3.0,1182,1.0,1433,3.0
5,145,585,1.0,1564,3.0,1093,3.0,461,4.0,865,5.0,405,4.0,468,4.0,281,2.0
5,93,585,2.0,1564,3.0,1093,3.0,461,4.0,865,5.0,405,4.0,468,4.0,281,2.0
5,515,585,2.0,1564,1.0,1093,3.0,461,3.0,865,5.0,405,1.0,468,3.0,281,1.0
5,16,585,4.0,1564,3.0,1093,4.0,461,4.0,865,5.0,405,4.0,468,5.0,281,3.0
5,522,585,2.0,1564,1.0,1093,1.0,461,2.0,865,5.0,405,2.0,468,4.0,281,1.0
6,205,251,4.0,107,4.0,1564,2.0,166,5.0,697,4.0,1333,4.0,281,3.0,1093,3.0
6,268,251,2.0,107,2.0,1564,2.0,166,4.0,697,4.0,1333,3.0,281,1.0,1093,4.0
6,193,251,5.0,107,5.0,1564,4.0,166,5.0,697,3.0,1333,4.0,281,4.0,1093,5.0
6,105,251,4.0,107,1.0,1564,3.0,166,4.0,697,2.0,1333,5.0,281,4.0,1093,1.0
6,87,251,1.0,107,4.0,1564,2.0,166,1.0,697,4.0,1333,2.0,281,1.0,1093,2.0
7,31,1006,4.0,999,5.0,806,3.0,1564,3.0,461,3.0,1253,4.0,1314,3.0,1713,3.0
7,355,1006,2.0,999,4.0,806,2.0,1564,3.0,461,3.0,1253,4.0,1314,3.0,1713,3.0
7,49,1006,5.0,999,5.0,806,5.0,1564,5.0,461,3.0,1253,4.0,1314,4.0,1713,4.0
7,166,1006,5.0,999,5.0,806,2.0,1564,3.0,461,3.0,1253,4.0,1314,4.0,1713,3.0
7,174,1006,5.0,999,5.0,806,3.0,1564,3.0,461,3.0,1253,3.0,1314,2.0,1713,3.0
8,83,1270,3.0,330,5.0,309,4.0,623,2.0,603,5.0,520,2.0,1654,3.0,167,5.0
8,85,1270,2.0,330,5.0,309,5.0,623,5.0,603,3.0,520,4.0,1654,4.0,167,5.0
8,274,1270,5.0,330,4.0,309,4.0,623,4.0,603,5.0,520,3.0,1654,2.0,167,5.0
8,62,1270,5.0,330,5.0,309,5.0,623,5.0,603,5.0,520,5.0,1654,4.0,167,4.0
8,311,1270,5.0,330,3.0,309,2.0,623,4.0,603,3.0,520,3.0,1654,4.0,167,3.0
9,11,330,4.0,1694,4.0,607,3.0,334,3.0,1242,5.0,967,5.0,717,5.0,603,5.0
9,85,330,5.0,1694,5.0,607,5.0,334,1.0,1242,2.0,967,4.0,717,5.0,603,3.0
9,266,330,2.0,1694,3.0,607,5.0,334,3.0,1242,5.0,967,3.0,717,2.0,603,4.0
9,102,330,3.0,1694,4.0,607,3.0,334,5.0,1242,3.0,967,2.0,717,4.0,603,3.0
9,147,330,3.0,1694,4.0,607,4.0,334,4.0,1242,3.0,967,5.0,717,4.0,603,4.0
10,352,840,3.0,227,3.0,1433,3.0,212,3.0,1181,5.0,1642,3.0,602,3.0,1183,5.0
10,469,840,3.0,227,2.0,1433,3.0,212,3.0,1181,3.0,1642,2.0,602,2.0,1183,4.0
10,16,840,4.0,227,4.0,1433,3.0,212,5.0,1181,5.0,1642,4.0,602,2.0,1183,4.0
10,4,840,3.0,227,2.0,1433,2.0,212,3.0,1181,1.0,1642,4.0,602,1.0,1183,5.0
10,311,840,2.0,227,3.0,1433,3.0,212,4.0,1181,1.0,1642,3.0,602,2.0,1183,5.0
11,375,166,4.0,330,5.0,101,4.0,461,4.0,468,4.0,603,5.0,585,4.0,405,3.0
11,192,166,2.0,330,4.0,101,2.0,461,2.0,468,5.0,603,4.0,585,4.0,405,1.0
11,68,166,5.0,330,4.0,101,3.0,461,5.0,468,3.0,603,5.0,585,3.0,405,4.0
11,133,166,2.0,330,3.0,101,2.0,461,5.0,468,4.0,603,1.0,585,4.0,405,2.0
11,268,166,4.0,330,3.0,101,1.0,461,2.0,468,2.0,603,4.0,585,3.0,405,3.0
12,720,603,4.0,146,3.0,1314,3.0,834,3.0,1182,4.0,967,4.0,1694,4.0,1642,3.0
12,513,603,4.0,146,3.0,1314,2.0,834,4.0,1182,4.0,967,1.0,1694,4.0,1642,3.0
12,22,603,5.0,146,4.0,1314,4.0,834,3.0,1182,3.0,967,5.0,1694,4.0,1642,4.0
12,177,603,5.0,146,3.0,1314,3.0,834,5.0,1182,5.0,967,3.0,1694,4.0,1642,2.0
12,137,603,4.0,146,5.0,1314,3.0,834,3.0,1182,4.0,967,4.0,1694,4.0,1642,4.0
13,16,1694,4.0,585,4.0,967,5.0,294,3.0,251,3.0,865,5.0,146,3.0,166,4.0
13,363,1694,2.0,585,1.0,967,3.0,294,4.0,251,3.0,865,4.0,146,3.0,166,2.0
