item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8,user-9,rating-9
419,1603,2.0,1670,2.0,1158,2.0,855,2.0,1694,1.0,1564,1.0,20,3.0,1302,3.0,1021,3.0
181,212,5.0,977,4.0,1333,2.0,1745,4.0,372,3.0,639,4.0,974,4.0,1694,2.0,1701,2.0
218,334,5.0,1158,4.0,793,4.0,732,3.0,494,4.0,1623,1.0,996,3.0,532,3.0,310,5.0
420,717,2.0,1304,4.0,1184,3.0,285,3.0,1552,3.0,1269,4.0,31,3.0,20,3.0,555,1.0
595,999,2.0,1250,2.0,1169,3.0,585,2.0,1638,1.0,125,3.0,78,2.0,58,3.0,606,2.0
832,519,5.0,1638,4.0,1654,4.0,197,4.0,1333,5.0,1561,4.0,990,2.0,844,4.0,1314,4.0
13,411,4.0,740,4.0,1385,4.0,1642,3.0,316,2.0,1737,4.0,1334,3.0,1136,5.0,1509,3.0
661,1331,1.0,842,2.0,1078,3.0,1226,4.0,834,5.0,1020,3.0,458,4.0,1479,2.0,1368,4.0
516,321,1.0,406,3.0,967,4.0,1017,3.0,85,4.0,324,3.0,39,3.0,293,3.0,1196,3.0
245,623,5.0,639,3.0,1019,5.0,906,4.0,1329,3.0,1551,2.0,1598,5.0,615,5.0,133,3.0
220,1696,5.0,1303,3.0,669,4.0,547,4.0,1552,3.0,532,4.0,1073,3.0,483,4.0,294,4.0
584,277,2.0,1180,3.0,967,2.0,977,2.0,1682,4.0,54,4.0,1276,2.0,842,2.0,62,4.0
503,191,4.0,1311,5.0,1253,5.0,820,2.0,988,1.0,409,4.0,1314,5.0,381,4.0,339,3.0
690,1694,4.0,244,3.0,1253,5.0,1712,5.0,532,3.0,519,4.0,1757,2.0,218,3.0,759,4.0
102,1356,2.0,1068,3.0,901,3.0,18,3.0,542,4.0,583,3.0,717,4.0,1694,4.0,1571,3.0
135,25,3.0,707,4.0,573,5.0,270,3.0,330,4.0,75,4.0,391,5.0,604,4.0,705,2.0
737,297,3.0,460,1.0,967,1.0,1287,4.0,1026,2.0,697,1.0,1078,1.0,806,2.0,1377,1.0
731,558,4.0,1253,2.0,623,1.0,231,2.0,280,3.0,500,3.0,286,1.0,1159,2.0,1670,1.0
932,1084,2.0,1686,4.0,348,4.0,1313,4.0,1423,3.0,1296,2.0,937,4.0,1093,4.0,378,3.0
23,34,4.0,986,2.0,91,4.0,887,3.0,707,4.0,1624,4.0,289,5.0,777,4.0,1574,5.0
215,1715,2.0,1006,4.0,1333,3.0,1254,4.0,1377,3.0,1170,3.0,1136,4.0,1181,4.0,254,3.0
294,468,3.0,167,3.0,1072,5.0,1450,4.0,618,3.0,1606,4.0,783,3.0,187,3.0,1609,4.0
320,1030,2.0,477,1.0,71,2.0,1105,3.0,1756,1.0,1084,3.0,149,5.0,616,2.0,722,1.0
633,1650,1.0,1567,3.0,1605,3.0,1475,1.0,277,4.0,62,4.0,1229,3.0,387,4.0,1237,1.0
593,1364,4.0,820,4.0,999,4.0,330,3.0,1259,1.0,555,1.0,1600,1.0,378,3.0,54,3.0
111,1334,3.0,218,4.0,997,4.0,622,5.0,471,4.0,560,4.0,717,4.0,1533,3.0,1616,3.0
343,585,4.0,1290,3.0,405,4.0,999,2.0,1488,4.0,976,4.0,1559,3.0,603,3.0,167,3.0
41,16,2.0,686,2.0,258,4.0,1374,3.0,1745,4.0,1570,1.0,1303,2.0,603,3.0,1158,4.0
735,1522,5.0,1137,2.0,656,4.0,406,4.0,942,2.0,258,5.0,167,2.0,330,3.0,357,3.0
102,1599,4.0,1345,2.0,344,4.0,330,3.0,133,4.0,3,2.0,806,4.0,1380,4.0,619,4.0
759,1756,1.0,1033,4.0,367,5.0,451,3.0,280,2.0,943,2.0,690,2.0,1075,2.0,1277,1.0
502,244,4.0,193,4.0,97,3.0,1322,3.0,738,5.0,254,4.0,1612,4.0,1535,4.0,1642,4.0
656,1006,2.0,1711,5.0,1533,4.0,997,2.0,1100,2.0,197,3.0,269,3.0,277,1.0,72,1.0
595,585,2.0,227,3.0,125,3.0,447,3.0,583,1.0,143,3.0,405,3.0,471,3.0,1158,3.0
168,330,3.0,306,4.0,378,2.0,1334,3.0,281,3.0,539,5.0,471,3.0,585,4.0,533,3.0
