item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8,user-9,rating-9,user-10,rating-10
15,1040,,241,4.0,1029,4.0,294,5.0,471,,1159,2.0,1465,3.0,1530,,955,5.0,172,
89,384,2.0,65,,801,,434,4.0,1314,3.0,1524,4.0,1749,,1318,4.0,1195,4.0,748,
49,1393,5.0,725,,1205,5.0,1302,5.0,342,,886,,680,4.0,523,,1036,5.0,1295,4.0
15,1105,,1187,4.0,371,5.0,259,4.0,740,5.0,21,,246,3.0,1369,3.0,1116,,732,5.0
44,1696,5.0,497,,707,5.0,243,5.0,1572,,580,4.0,630,,1592,3.0,969,,617,3.0
129,1056,,656,5.0,723,4.0,1044,5.0,518,,1224,5.0,43,4.0,797,4.0,654,4.0,606,5.0
49,1040,,453,3.0,1237,,391,5.0,1721,4.0,537,5.0,653,4.0,1325,,670,5.0,175,5.0
26,689,,1201,,50,5.0,679,,135,,845,4.0,1261,3.0,1325,4.0,1279,5.0,1503,4.0
23,417,3.0,913,5.0,242,5.0,276,4.0,166,5.0,262,5.0,1484,,956,,1438,,446,
129,1584,5.0,1425,5.0,1489,5.0,771,,307,1.0,1540,,293,,696,5.0,409,,462,4.0
23,1122,,1060,,565,4.0,357,5.0,1558,5.0,1686,3.0,311,5.0,839,5.0,1672,,1337,
113,20,5.0,549,4.0,198,3.0,1478,,936,4.0,10,4.0,1307,,300,,1309,,974,3.0
15,273,5.0,1121,5.0,1698,,87,5.0,378,3.0,970,5.0,1435,,61,5.0,590,5.0,1071,
129,850,,1123,4.0,1092,,1093,5.0,167,5.0,1561,5.0,793,5.0,1674,5.0,602,,735,
1,512,4.0,1058,4.0,3,5.0,21,,1704,,1544,4.0,1386,,555,1.0,203,3.0,237,5.0
23,420,3.0,405,3.0,1270,3.0,1193,,1241,5.0,971,5.0,1292,5.0,174,,1406,4.0,1039,4.0
16,274,,579,3.0,1700,,228,3.0,820,5.0,103,4.0,1547,3.0,797,,1630,,1103,3.0
42,496,5.0,416,,466,,434,5.0,962,4.0,1639,4.0,1209,,954,4.0,1276,4.0,943,
129,1136,5.0,1540,,1237,,1110,5.0,822,5.0,1722,3.0,828,5.0,860,,1436,3.0,1309,3.0
15,208,5.0,1379,,294,5.0,838,,471,,283,4.0,780,5.0,1660,5.0,477,,990,5.0
15,1250,5.0,1235,4.0,1395,,1220,,166,,920,4.0,1048,4.0,138,5.0,1277,4.0,509,
43,1152,5.0,353,5.0,513,4.0,83,5.0,420,,759,,1625,,986,5.0,1213,,735,5.0
16,1616,4.0,1632,,849,,694,4.0,936,5.0,1560,,1033,,1531,3.0,254,3.0,223,3.0
209,834,3.0,227,4.0,612,,597,3.0,550,4.0,1480,,633,,1642,3.0,59,4.0,1006,4.0
149,977,4.0,593,,337,4.0,1045,,694,4.0,1593,2.0,843,5.0,459,,1547,,332,3.0
85,416,4.0,531,4.0,1444,,981,5.0,69,3.0,663,,1048,,1081,,526,5.0,942,4.0
15,1136,5.0,1144,4.0,793,,553,,1436,4.0,1468,,1597,,47,5.0,591,4.0,319,5.0
44,83,,1717,3.0,341,3.0,374,,1479,3.0,1575,,1095,5.0,828,3.0,1422,3.0,1551,4.0
129,1712,5.0,786,5.0,452,,182,,1049,5.0,986,5.0,1627,5.0,75,5.0,1231,,447,
44,771,,308,,1381,4.0,758,5.0,679,2.0,297,4.0,1018,5.0,91,,1166,,1694,4.0
16,736,,1232,,931,,1747,,276,4.0,901,4.0,229,5.0,456,3.0,408,4.0,332,5.0
