item,user-1,rating-1,user-2,rating-2
684,968,4.0,1102,3.0
61,1488,4.0,1503,5.0
120,81,2.0,1418,2.0
193,1172,4.0,191,3.0
202,1014,5.0,888,5.0
26,419,5.0,23,4.0
173,197,2.0,1349,3.0
266,917,3.0,109,5.0
81,50,5.0,314,5.0
26,405,5.0,61,5.0
33,193,4.0,677,3.0
85,251,3.0,461,3.0
487,1616,2.0,1021,4.0
278,452,5.0,999,2.0
228,820,5.0,186,4.0
202,788,3.0,332,3.0
16,1184,3.0,1099,4.0
44,1169,4.0,1683,5.0
23,517,5.0,874,5.0
166,949,3.0,453,3.0
282,1168,4.0,1098,4.0
106,521,4.0,732,4.0
122,896,5.0,928,5.0
393,411,3.0,1359,5.0
181,1559,3.0,237,1.0
222,75,3.0,524,3.0
105,55,2.0,106,1.0
1,1378,4.0,711,5.0
255,480,3.0,1701,2.0
92,1025,4.0,74,4.0
70,1637,4.0,646,5.0
287,1460,4.0,153,3.0
274,353,3.0,315,4.0
479,690,3.0,1503,4.0
119,243,4.0,1539,4.0
208,1418,4.0,270,5.0
10,227,4.0,943,3.0
129,561,3.0,844,5.0
83,875,5.0,763,5.0
25,397,2.0,831,3.0
206,1314,2.0,639,4.0
159,294,3.0,875,4.0
16,243,5.0,1611,3.0
16,128,2.0,1338,3.0
7,532,3.0,423,4.0
25,1282,4.0,717,1.0
129,755,4.0,713,4.0
15,34,2.0,444,3.0
198,839,4.0,1450,3.0
8,763,5.0,1100,2.0
119,594,5.0,215,4.0
178,1027,2.0,943,4.0
274,1205,4.0,1021,4.0
424,1333,5.0,1084,3.0
62,1536,2.0,1276,5.0
97,1600,5.0,968,3.0
51,243,5.0,1686,5.0
209,524,3.0,1196,3.0
127,896,1.0,1110,4.0
33,1020,3.0,29,4.0
174,566,3.0,598,3.0
109,670,5.0,1103,5.0
143,626,4.0,1004,2.0
248,1700,2.0,167,4.0
266,1314,2.0,221,4.0
72,1296,4.0,532,4.0
16,806,1.0,1375,4.0
393,1209,4.0,329,1.0
377,1193,4.0,268,4.0
16,870,3.0,1258,4.0
31,842,3.0,539,4.0
26,1588,4.0,1164,5.0
15,1013,4.0,1671,5.0
149,305,4.0,369,4.0
145,1030,4.0,603,5.0
16,149,5.0,1381,3.0
172,1539,3.0,1532,1.0
90,542,4.0,1103,3.0
274,856,3.0,1070,3.0
149,225,4.0,1063,4.0
113,1670,3.0,1627,4.0
197,311,4.0,839,4.0
11,1552,4.0,1720,4.0
276,378,2.0,508,3.0
20,208,4.0,1356,2.0
11,32,5.0,883,4.0
43,489,5.0,427,4.0
348,228,2.0,1564,2.0
15,947,3.0,452,4.0
9,1048,5.0,1181,3.0
208,566,5.0,831,5.0
446,598,2.0,1599,4.0
193,723,5.0,525,5.0
54,759,4.0,1743,4.0
81,163,5.0,734,4.0
23,984,4.0,1660,4.0
91,361,4.0,603,4.0
103,1441,3.0,1144,3.0
270,146,4.0,263,4.0
119,1638,3.0,1006,5.0
76,1333,3.0,519,4.0
8,467,4.0,643,5.0
146,467,2.0,107,3.0
1,835,1.0,1181,5.0
215,1303,4.0,1535,2.0
202,1318,3.0,1565,5.0
11,600,4.0,1068,3.0
44,1095,5.0,1114,4.0
16,182,4.0,445,3.0
19,897,4.0,943,3.0
129,521,5.0,606,5.0
16,147,4.0,1604,4.0
86,71,5.0,1068,3.0
680,599,5.0,1210,3.0
31,881,3.0,1303,4.0
43,336,5.0,990,5.0
26,789,3.0,62,4.0
86,258,4.0,1654,5.0
245,254,2.0,639,3.0
37,1625,5.0,1421,5.0
81,1448,5.0,1070,4.0
51,60,5.0,415,5.0
358,1637,4.0,236,4.0
174,1747,4.0,1588,3.0
0,550,3.0,141,3.0
111,1713,4.0,1435,5.0
604,380,2.0,479,1.0
0,1128,4.0,1098,5.0
