item,user-1,rating-1,user-2,rating-2,user-3,rating-3
8,144,4.0,598,5.0,951,
664,325,1.0,1179,,988,2.0
16,81,3.0,1703,5.0,941,
149,1172,,1093,4.0,332,3.0
8,449,5.0,865,5.0,1038,
379,656,,52,5.0,415,5.0
223,424,4.0,1130,,1294,4.0
109,1586,,984,5.0,860,3.0
248,912,4.0,337,3.0,1599,
68,80,,1539,4.0,859,3.0
134,1329,5.0,244,,1561,4.0
109,961,5.0,149,5.0,763,
76,1282,,884,4.0,1005,5.0
272,832,4.0,537,3.0,857,
214,1552,3.0,716,,623,5.0
251,165,,1049,5.0,170,3.0
183,1077,5.0,582,,1102,3.0
193,1170,,744,5.0,1535,5.0
223,1714,,773,2.0,1599,3.0
161,597,2.0,22,,109,3.0
208,1137,,772,4.0,1078,4.0
61,1351,5.0,1660,,1052,3.0
169,532,5.0,1611,5.0,366,
180,294,4.0,1128,3.0,461,3.0
85,1200,4.0,770,3.0,1512,
37,0,5.0,499,,334,3.0
234,323,5.0,442,5.0,669,
154,1600,4.0,461,5.0,942,
109,1170,4.0,569,5.0,1146,
354,836,,532,3.0,999,2.0
76,1552,3.0,1088,5.0,394,
23,1638,4.0,1549,1.0,1198,
709,739,,615,3.0,411,1.0
232,1344,4.0,1155,,985,4.0
49,1016,4.0,862,3.0,79,
33,315,,1181,4.0,1503,4.0
140,832,,1058,2.0,1331,1.0
23,1346,,1578,1.0,92,4.0
119,259,,1428,5.0,999,3.0
193,1265,5.0,212,5.0,1384,
40,593,,1603,5.0,1070,5.0
248,1424,,1699,3.0,572,4.0
23,1240,5.0,203,3.0,875,4.0
461,928,5.0,481,,1049,3.0
81,537,5.0,795,5.0,685,5.0
49,611,4.0,261,3.0,630,
23,1156,5.0,231,2.0,1641,4.0
140,193,3.0,1466,3.0,1327,
222,33,,807,3.0,397,4.0
174,489,4.0,1629,4.0,63,
16,819,2.0,1061,2.0,137,
199,985,3.0,1753,4.0,1642,
193,65,3.0,945,,1026,5.0
26,102,5.0,1641,,892,5.0
198,1171,,967,4.0,539,3.0
483,517,,293,2.0,103,4.0
109,451,5.0,407,,1176,4.0
146,1122,2.0,166,4.0,1052,
128,1264,,1585,4.0,191,4.0
96,1040,,197,1.0,857,5.0
11,870,2.0,905,3.0,461,4.0
537,323,2.0,774,,555,2.0
129,1603,5.0,78,5.0,63,5.0
219,960,,456,3.0,1161,5.0
69,759,4.0,570,5.0,1164,
81,755,,937,4.0,702,5.0
144,212,4.0,683,,943,3.0
177,1276,4.0,1070,5.0,1406,
166,1552,4.0,1689,4.0,1388,
86,1606,5.0,410,4.0,188,4.0
255,1082,,75,4.0,731,2.0
16,422,5.0,695,4.0,120,
145,235,3.0,239,,175,4.0
64,1508,,1496,4.0,845,3.0
20,976,,806,2.0,622,4.0
146,416,,724,4.0,456,2.0
1,1254,3.0,1047,3.0,1036,
21,1249,5.0,1434,4.0,797,
0,1169,3.0,1226,,447,3.0
287,1153,,897,2.0,630,2.0
81,903,5.0,43,,492,3.0
509,36,5.0,694,4.0,698,
127,1728,3.0,1737,4.0,953,
149,464,,88,4.0,1496,4.0
97,73,,1194,3.0,1071,3.0
122,1732,3.0,966,,954,5.0
314,1730,4.0,1479,,105,4.0
44,836,2.0,1288,,1017,5.0
317,1571,,1299,4.0,1289,3.0
200,464,,167,5.0,1295,4.0
29,786,,51,4.0,537,3.0
49,1440,,1685,5.0,877,3.0
1,856,2.0,248,,1689,3.0
0,485,4.0,477,,1341,5.0
34,1616,,770,3.0,409,4.0
76,1683,,166,5.0,859,1.0
113,1269,3.0,1016,,221,3.0
193,595,,1110,5.0,1642,5.0
43,1095,,1627,5.0,796,5.0
186,1608,2.0,1054,4.0,1359,
229,339,2.0,681,5.0,666,
228,1140,,502,3.0,1144,4.0
103,645,2.0,684,,1741,3.0
122,128,1.0,343,5.0,1549,
107,293,3.0,22,,924,2.0
467,244,,233,3.0,351,2.0
51,1252,5.0,405,5.0,1084,4.0
225,1617,,835,4.0,1448,5.0
142,115,3.0,628,4.0,1749,
11,69,,604,4.0,972,5.0
215,1169,3.0,650,4.0,957,
43,102,5.0,808,,1407,5.0
173,1380,4.0,1606,4.0,159,
177,259,,1237,5.0,475,2.0
40,193,3.0,1337,4.0,446,
26,824,4.0,138,3.0,1132,5.0
111,1739,,397,4.0,639,5.0
321,1072,3.0,54,2.0,428,
153,200,2.0,75,,1711,1.0
161,1040,,1193,4.0,315,3.0
129,289,5.0,1060,5.0,374,
58,1441,3.0,839,4.0,1726,
166,305,,594,4.0,1278,4.0
63,889,4.0,1566,,1711,4.0
33,48,,411,4.0,924,4.0
61,1029,,854,4.0,876,4.0
16,134,5.0,684,5.0,79,
338,101,2.0,1334,3.0,184,
574,999,4.0,1610,,1196,5.0
200,1664,2.0,379,,1694,5.0
11,1490,1.0,1093,5.0,1434,
16,791,,903,5.0,1401,3.0
430,946,,1094,2.0,697,2.0
71,532,4.0,533,,1374,2.0
487,453,4.0,526,,623,4.0
76,965,4.0,374,,236,2.0
227,1569,,1187,4.0,424,1.0
124,1730,4.0,1172,,644,4.0
23,1554,4.0,1011,,1358,5.0
352,464,,229,3.0,985,4.0
237,51,4.0,377,,1245,4.0
51,866,5.0,263,5.0,776,
272,1157,4.0,1400,2.0,253,
11,172,5.0,444,4.0,1374,
119,369,,1030,4.0,1052,5.0
11,355,5.0,1660,,446,5.0
23,85,5.0,1063,,1005,5.0
532,1169,4.0,582,5.0,1007,
62,241,5.0,1432,,1358,3.0
439,966,,1449,4.0,1721,4.0
208,1717,4.0,315,5.0,30,
42,834,5.0,1141,4.0,1710,4.0
48,535,3.0,1207,,927,5.0
793,650,3.0,988,1.0,1613,
231,641,,1495,4.0,1594,4.0
129,1143,,1161,5.0,1549,2.0
23,304,,293,4.0,1142,5.0
555,243,,1078,3.0,136,5.0
606,868,,1611,4.0,734,4.0
86,658,4.0,397,5.0,1039,
314,1369,,1611,4.0,1006,5.0
68,1170,4.0,1496,,520,3.0
293,162,4.0,824,,363,4.0
44,954,5.0,1516,,990,3.0
38,1152,4.0,213,,508,5.0
111,417,4.0,963,,1433,4.0
43,1169,5.0,248,,221,4.0
228,1721,3.0,173,,623,4.0
11,728,,1739,4.0,1485,3.0
63,692,,676,4.0,726,4.0
69,839,4.0,1598,,303,3.0
127,1110,4.0,1133,,607,3.0
190,738,4.0,693,,1158,4.0
83,85,,1577,5.0,1131,5.0
54,866,4.0,1229,,750,4.0
413,1684,3.0,461,3.0,159,
85,755,4.0,311,4.0,812,
205,1333,4.0,905,4.0,1471,
153,1266,3.0,165,,167,2.0
135,227,4.0,486,5.0,893,
44,1440,4.0,741,,1561,4.0
119,1121,4.0,1564,4.0,924,
85,600,,602,2.0,1180,3.0
282,932,5.0,1637,,922,4.0
26,475,5.0,844,4.0,1710,
316,1282,3.0,520,2.0,489,3.0
43,912,5.0,1107,5.0,1308,
127,1517,,382,4.0,767,5.0
257,80,3.0,1414,,442,3.0
208,661,5.0,1638,4.0,58,
