item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4
31,1024,3.0,129,4.0,663,,138,3.0
23,1027,5.0,454,5.0,985,5.0,925,
42,1313,4.0,1746,3.0,311,3.0,1613,
51,788,5.0,186,4.0,1260,,1711,5.0
169,48,5.0,199,,840,3.0,399,5.0
62,128,1.0,1411,,323,1.0,1052,4.0
109,1072,5.0,1089,5.0,522,,815,2.0
61,1108,,823,5.0,1662,4.0,1359,5.0
379,1536,5.0,793,3.0,446,3.0,1246,
16,792,4.0,616,4.0,57,,1132,5.0
257,1748,2.0,1081,,218,3.0,1694,3.0
26,1541,4.0,1239,3.0,1275,2.0,686,4.0
255,834,4.0,1720,,1193,4.0,186,3.0
33,1536,,1668,4.0,475,4.0,846,3.0
129,1061,5.0,540,5.0,924,5.0,639,
37,226,,1699,4.0,1688,5.0,874,5.0
11,1477,,1689,4.0,1196,5.0,1580,5.0
1,82,4.0,228,3.0,1732,3.0,281,4.0
37,470,,1355,5.0,1326,4.0,30,5.0
38,1378,,309,4.0,1128,4.0,281,4.0
51,17,,36,5.0,1671,5.0,1367,5.0
61,1521,,1013,5.0,1276,4.0,1103,4.0
38,103,5.0,759,2.0,986,4.0,45,
223,1728,,1184,3.0,1466,5.0,973,4.0
76,930,,1122,2.0,1284,4.0,607,5.0
23,228,3.0,647,4.0,954,3.0,445,
129,615,5.0,1096,4.0,1240,5.0,303,5.0
69,918,4.0,1400,4.0,1470,,943,5.0
81,1552,5.0,25,5.0,330,5.0,1213,
86,753,5.0,85,4.0,1402,5.0,1038,
246,1377,4.0,1399,3.0,1241,,572,4.0
128,1425,5.0,339,5.0,574,,207,4.0
51,1552,5.0,244,,1588,3.0,1054,5.0
38,1720,,793,5.0,843,5.0,159,2.0
16,16,5.0,320,,4,4.0,617,4.0
85,722,4.0,537,5.0,1596,,1006,5.0
238,1329,,18,4.0,483,4.0,988,5.0
69,1490,5.0,954,5.0,331,,494,4.0
37,165,5.0,262,4.0,535,3.0,926,
26,1360,,645,5.0,23,4.0,1279,5.0
44,1554,4.0,1466,3.0,351,5.0,367,
125,1072,4.0,865,3.0,982,,937,1.0
153,1509,,155,2.0,572,2.0,237,3.0
89,1296,,54,4.0,599,4.0,607,5.0
44,1186,4.0,1367,,1246,4.0,175,4.0
198,1093,5.0,885,,602,3.0,846,4.0
357,1509,3.0,117,3.0,910,,831,3.0
85,576,5.0,516,5.0,652,,1757,3.0
