item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6
81,1456,4.0,865,5.0,404,5.0,788,4.0,1512,,1562,1.0
26,599,3.0,1720,1.0,632,4.0,1258,,1501,5.0,703,
173,166,1.0,1606,4.0,215,3.0,874,3.0,1306,,1722,
86,834,1.0,1637,4.0,378,5.0,811,,1019,,1103,4.0
81,912,3.0,96,,400,,1058,5.0,306,5.0,1570,5.0
25,1187,,1619,,101,5.0,357,2.0,936,3.0,1406,4.0
43,352,,390,3.0,1210,3.0,330,5.0,797,3.0,159,
183,309,4.0,374,,1047,4.0,103,5.0,220,5.0,1567,
146,1600,4.0,929,,804,3.0,1638,1.0,1320,,1193,4.0
11,1392,,485,4.0,582,4.0,1689,4.0,620,,461,4.0
81,352,4.0,643,,483,3.0,1670,,8,4.0,1707,5.0
15,1284,4.0,372,4.0,1717,4.0,1115,,686,5.0,1662,5.0
51,244,,1637,5.0,1463,5.0,344,,92,5.0,590,4.0
85,915,5.0,645,4.0,294,5.0,856,,122,4.0,1436,
11,640,4.0,1041,3.0,338,3.0,1269,4.0,937,,1131,
190,960,,851,5.0,731,4.0,140,,1612,4.0,479,1.0
86,99,2.0,164,,502,3.0,1242,4.0,652,4.0,606,
183,576,3.0,1253,5.0,1591,3.0,1017,5.0,491,,715,
274,1651,4.0,196,,9,,364,5.0,125,3.0,1182,3.0
8,1153,,579,3.0,1222,4.0,1671,4.0,1532,,316,3.0
44,1649,5.0,1426,5.0,499,3.0,934,,1420,5.0,366,
11,1689,4.0,1101,5.0,605,4.0,1487,,415,2.0,879,
11,1440,4.0,1200,,453,5.0,22,5.0,1642,4.0,1675,5.0
43,674,,738,5.0,147,4.0,891,5.0,444,4.0,1388,
16,757,,73,5.0,1213,3.0,1454,1.0,447,5.0,943,3.0
44,785,3.0,439,4.0,569,2.0,348,,1485,3.0,447,5.0
23,274,,501,,855,5.0,873,3.0,122,5.0,364,5.0
44,1123,4.0,5,,294,5.0,1658,4.0,749,,461,4.0
16,1651,3.0,581,,40,,666,4.0,1531,3.0,1198,4.0
81,482,,978,5.0,1139,,1336,5.0,364,5.0,1278,5.0
161,817,2.0,881,2.0,163,4.0,452,,1621,1.0,808,
120,1395,4.0,1235,4.0,1621,3.0,518,,221,2.0,1102,
85,468,5.0,484,4.0,999,5.0,9,,61,,1535,5.0
208,7,,1179,,1228,5.0,1260,4.0,862,4.0,1454,5.0
471,288,3.0,258,3.0,1618,5.0,644,4.0,1236,,191,4.0
129,498,,1337,5.0,618,5.0,172,,1278,5.0,638,4.0
44,514,4.0,1187,,228,3.0,506,,890,4.0,1533,4.0
8,69,,645,4.0,325,5.0,662,,550,3.0,460,5.0
161,1121,,677,3.0,133,3.0,231,3.0,778,,1564,3.0
23,96,,1488,5.0,420,3.0,1733,4.0,1461,,1609,3.0
11,1441,4.0,1525,,598,5.0,231,2.0,555,4.0,1342,
354,1570,3.0,1430,,824,3.0,1449,,317,5.0,831,5.0
11,561,5.0,932,5.0,532,3.0,1542,,1591,3.0,1385,
49,240,5.0,1073,5.0,453,3.0,1590,,1671,5.0,828,
83,1072,5.0,1651,4.0,1123,,245,4.0,249,,1627,5.0
208,833,4.0,20,5.0,1717,4.0,741,,1270,4.0,1678,
255,834,4.0,435,4.0,937,4.0,235,,1307,2.0,110,
16,1041,4.0,901,4.0,1670,4.0,470,3.0,344,4.0,988,2.0
112,449,,500,5.0,1047,2.0,329,3.0,493,,1054,5.0
18,1120,,18,3.0,1638,4.0,537,4.0,187,,1165,5.0
537,114,4.0,99,,1047,5.0,824,3.0,8,,878,4.0
113,897,4.0,59,2.0,636,,989,,974,3.0,639,5.0
8,385,,961,5.0,932,4.0,1637,5.0,743,,636,4.0
51,1393,5.0,258,5.0,536,,505,5.0,362,,1708,4.0
183,16,4.0,1059,,906,4.0,508,4.0,863,,1327,5.0
51,1728,4.0,1282,2.0,1187,,617,,681,5.0,175,5.0
129,1441,5.0,1026,5.0,754,,228,,839,5.0,877,3.0
8,1268,,149,4.0,1366,3.0,567,2.0,505,5.0,1039,
1,1300,4.0,1684,4.0,907,,397,4.0,686,5.0,271,2.0
16,243,5.0,996,3.0,185,,1145,,573,4.0,927,3.0
62,34,5.0,850,5.0,420,5.0,1146,,574,,62,4.0
23,496,,1377,4.0,945,4.0,1323,,811,5.0,1101,5.0
146,1248,5.0,314,2.0,58,,956,,1694,4.0,1054,4.0
26,738,5.0,408,4.0,363,5.0,684,,509,4.0,877,4.0
16,736,,25,5.0,1177,2.0,731,4.0,1549,,383,4.0
223,1584,5.0,1330,,739,4.0,357,5.0,1194,4.0,346,
11,1457,,724,,1306,3.0,235,4.0,252,4.0,589,5.0
15,1377,5.0,1714,5.0,854,,777,,702,5.0,1534,3.0
11,1157,,37,5.0,517,3.0,1563,5.0,60,,1695,3.0
113,769,4.0,577,,625,,615,4.0,109,1.0,1470,2.0
54,1472,,209,5.0,146,5.0,1669,,1577,5.0,937,2.0
26,1587,,22,,423,3.0,1495,5.0,537,4.0,1423,4.0
54,1344,4.0,1638,3.0,9,4.0,1017,5.0,891,5.0,926,4.0
11,1217,5.0,947,,567,1.0,202,5.0,1468,,830,3.0
193,1520,,1317,5.0,330,5.0,778,,1195,4.0,1516,5.0
11,453,5.0,1670,3.0,1318,5.0,314,3.0,1499,4.0,1339,4.0
16,1330,,454,5.0,233,4.0,1051,4.0,813,4.0,447,5.0
15,99,,1685,5.0,311,5.0,505,5.0,1293,,1102,4.0
44,1731,5.0,420,2.0,1543,,1303,5.0,1081,,1436,3.0
26,1296,4.0,625,5.0,227,4.0,120,,936,4.0,1033,
37,788,5.0,1204,,1429,2.0,1270,4.0,1755,,1071,4.0
222,1109,4.0,1400,4.0,1609,5.0,329,,574,,1711,5.0
76,1201,3.0,618,5.0,1707,3.0,844,4.0,589,,143,
8,816,3.0,322,2.0,1671,4.0,1499,,1069,,269,5.0
149,729,4.0,1689,4.0,523,,1643,4.0,1116,,1708,4.0
26,452,4.0,52,5.0,870,4.0,108,,1405,4.0,1613,4.0
172,1713,2.0,979,,500,5.0,1062,,615,4.0,1433,3.0
26,113,,51,4.0,118,4.0,1144,2.0,264,,271,5.0
8,373,,1192,5.0,330,5.0,1101,3.0,1565,4.0,1375,3.0
108,276,5.0,1365,4.0,807,,1240,4.0,1626,,732,4.0
129,64,5.0,1381,5.0,600,,187,,1275,5.0,1596,5.0
190,947,3.0,1110,4.0,246,4.0,238,,943,3.0,991,
200,1344,4.0,1680,3.0,353,2.0,1158,5.0,761,3.0,861,
11,1152,,1396,4.0,760,4.0,11,,235,4.0,765,4.0
26,1618,,3,5.0,920,,1081,4.0,619,4.0,764,5.0
38,1713,4.0,966,,1480,5.0,123,5.0,446,,191,5.0
16,961,3.0,50,,1026,4.0,1341,5.0,445,3.0,575,4.0
113,817,5.0,276,,487,,1449,4.0,1082,3.0,479,2.0
122,193,5.0,482,3.0,1685,4.0,309,5.0,505,5.0,1675,
183,1187,5.0,324,,521,5.0,1307,4.0,733,,847,5.0
54,1173,3.0,1398,5.0,711,5.0,1449,4.0,761,,154,
8,1249,5.0,835,4.0,1318,4.0,1335,,281,5.0,1213,
23,146,5.0,403,,438,5.0,1610,3.0,1373,,670,5.0
181,816,2.0,576,,689,2.0,124,,460,2.0,78,3.0
44,662,5.0,1672,,1242,3.0,619,5.0,1645,3.0,78,3.0
8,752,5.0,165,3.0,1239,,967,5.0,124,4.0,494,5.0
38,563,,900,5.0,1657,,922,5.0,1357,4.0,1455,5.0
62,306,5.0,136,4.0,1160,3.0,1148,,1597,,623,5.0
15,913,4.0,468,5.0,917,4.0,438,4.0,1736,,622,3.0
278,416,,1681,4.0,35,,566,3.0,330,3.0,623,2.0
220,945,,513,,1417,3.0,9,4.0,397,5.0,1711,2.0
44,948,3.0,1622,,134,4.0,844,3.0,478,,591,4.0
15,851,5.0,1268,,884,3.0,1300,5.0,985,5.0,140,
15,18,5.0,1746,3.0,791,,972,4.0,494,4.0,110,
15,592,,900,1.0,53,,38,5.0,635,3.0,1598,4.0
229,1344,5.0,1296,4.0,1556,5.0,54,4.0,1049,3.0,1273,
44,96,,146,5.0,903,5.0,1304,3.0,251,4.0,1548,
15,418,5.0,901,4.0,1015,,1513,4.0,1534,3.0,207,4.0
11,195,5.0,1226,,1099,4.0,1515,,924,2.0,1503,4.0
208,560,4.0,838,,550,4.0,872,5.0,395,,1756,3.0
26,1328,4.0,1586,5.0,1475,4.0,1462,5.0,488,3.0,1647,4.0
8,339,5.0,1556,,1030,5.0,1591,3.0,1303,4.0,1417,5.0
23,912,3.0,53,,1144,4.0,1002,,1389,4.0,1166,5.0
23,1488,5.0,1651,5.0,1237,,311,5.0,398,3.0,1726,5.0
0,336,4.0,1463,,8,2.0,1432,3.0,634,,924,4.0
8,305,4.0,241,,1155,4.0,808,,1195,5.0,159,3.0
44,225,5.0,849,4.0,1442,4.0,1607,,778,,445,5.0
208,791,4.0,1576,,744,5.0,233,,1581,4.0,45,3.0
23,500,5.0,1207,5.0,1656,,409,5.0,586,4.0,1164,4.0
43,656,,1377,2.0,709,3.0,86,5.0,107,5.0,635,
51,144,5.0,964,5.0,1732,4.0,855,5.0,841,,252,
16,1249,5.0,1442,,1203,,329,2.0,1065,4.0,1708,3.0
33,304,,881,4.0,726,4.0,424,,332,2.0,1006,4.0
274,1713,3.0,228,4.0,1525,,937,2.0,1114,,109,3.0
49,240,5.0,625,1.0,1482,,1690,5.0,1260,5.0,1663,5.0
44,832,4.0,307,,789,4.0,1701,5.0,535,1.0,1567,
129,1076,5.0,681,4.0,985,5.0,361,,1694,5.0,1375,
51,288,,1012,5.0,1565,5.0,1582,,430,5.0,1534,4.0
26,738,5.0,34,4.0,454,5.0,1095,3.0,1513,,1519,5.0
23,420,3.0,405,3.0,730,2.0,1452,,1676,3.0,142,5.0
11,2,,872,4.0,539,5.0,829,4.0,1533,3.0,1487,
8,963,4.0,439,5.0,840,3.0,874,3.0,1741,,1229,
113,840,3.0,314,5.0,1595,,1611,3.0,1452,,1054,4.0
61,576,3.0,1569,,517,3.0,633,4.0,1337,,623,4.0
129,580,5.0,326,,54,5.0,1623,4.0,1321,3.0,397,5.0
43,1266,,1044,5.0,1716,,646,4.0,157,5.0,1247,5.0
49,832,4.0,673,3.0,419,4.0,532,4.0,1625,,1134,4.0
8,1744,4.0,919,,1128,5.0,1706,,766,4.0,559,1.0
255,1381,3.0,1125,5.0,937,4.0,554,,1469,,910,5.0
86,1122,2.0,482,,1688,1.0,936,4.0,798,,1231,2.0
49,1379,,501,4.0,315,4.0,317,,494,4.0,1503,5.0
81,1681,5.0,1105,,738,5.0,22,5.0,1017,3.0,173,
208,1041,5.0,194,5.0,420,5.0,1380,,837,4.0,72,3.0
208,1473,5.0,99,5.0,1749,,1366,4.0,376,,639,4.0
16,1122,3.0,1302,5.0,1642,4.0,428,3.0,1357,,429,5.0
183,1265,5.0,456,2.0,168,,1258,4.0,988,5.0,1407,
43,691,,1045,,840,4.0,1209,5.0,1278,3.0,607,4.0
210,528,3.0,384,,1137,,138,5.0,156,4.0,508,4.0
23,1216,5.0,176,3.0,1249,,887,3.0,313,4.0,1277,5.0
44,1415,2.0,904,3.0,1499,,1404,,477,1.0,1374,4.0
16,1600,5.0,688,,1140,3.0,793,,1210,3.0,1054,5.0
73,1041,5.0,562,,98,,1013,5.0,1293,4.0,461,3.0
8,1190,,200,4.0,825,,1177,4.0,1081,3.0,890,4.0
1,1651,,787,,932,4.0,949,2.0,54,4.0,974,4.0
26,19,,1460,5.0,1349,4.0,1160,5.0,781,,1470,4.0
33,146,4.0,547,5.0,548,,517,2.0,1034,5.0,1483,
26,1616,2.0,1111,4.0,697,5.0,586,,604,,1565,4.0
81,1744,5.0,1686,5.0,134,,188,5.0,1612,5.0,1149,
81,133,4.0,901,5.0,713,4.0,428,,237,,589,4.0
23,1330,,932,5.0,1480,4.0,138,5.0,602,4.0,1339,5.0
23,992,,1729,,646,5.0,217,5.0,74,4.0,1423,3.0
129,321,4.0,1233,,1523,4.0,951,5.0,712,4.0,1481,
222,1186,4.0,1618,3.0,258,4.0,115,4.0,1544,5.0,1113,4.0
456,1122,3.0,1638,2.0,519,5.0,1736,,170,,618,4.0
8,1730,,3,5.0,531,,100,5.0,795,5.0,1407,5.0
8,1584,,513,4.0,1122,3.0,1124,4.0,294,5.0,1343,5.0
193,675,4.0,883,4.0,1622,,1592,4.0,1338,,1692,5.0
246,1600,5.0,288,4.0,321,3.0,278,,1372,,270,4.0
44,288,,451,4.0,1748,5.0,932,5.0,792,5.0,267,
43,848,4.0,1603,5.0,1705,,443,,603,4.0,1291,5.0
81,1376,4.0,509,5.0,1629,4.0,1597,,846,,702,5.0
11,576,,149,4.0,997,3.0,341,5.0,73,,1629,5.0
208,1328,,1109,,710,4.0,855,5.0,219,5.0,844,4.0
8,1685,4.0,1318,4.0,697,5.0,1274,4.0,1084,4.0,716,
81,1224,,1546,4.0,1276,5.0,509,5.0,1454,,15,5.0
23,1712,5.0,1330,,421,5.0,505,5.0,1563,4.0,45,
