item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7
129,1266,,1475,5.0,1332,,566,5.0,298,4.0,764,,670,5.0
15,722,4.0,1251,5.0,726,3.0,599,,923,,1453,,63,4.0
11,1044,4.0,1637,4.0,40,,41,3.0,154,5.0,988,1.0,172,5.0
15,480,4.0,659,5.0,1428,5.0,1300,5.0,1124,5.0,693,,1388,3.0
202,960,,962,4.0,850,,375,2.0,632,4.0,616,5.0,266,
43,88,5.0,1432,,1417,5.0,890,5.0,332,4.0,1630,4.0,1231,
162,1109,,453,3.0,1047,4.0,1432,,697,4.0,746,,1228,4.0
128,1169,4.0,451,,71,,124,3.0,734,4.0,1102,5.0,415,
8,960,,865,5.0,467,4.0,357,5.0,165,3.0,454,,553,
85,1410,,1122,3.0,1639,3.0,935,5.0,1273,,1307,,1679,4.0
15,258,5.0,418,5.0,1029,4.0,197,,919,,217,5.0,941,
8,208,4.0,419,3.0,1699,3.0,148,,1446,,1270,4.0,316,3.0
23,1728,5.0,708,5.0,566,5.0,664,5.0,1609,3.0,585,5.0,1101,5.0
26,816,2.0,1124,,118,4.0,326,,1543,,8,2.0,922,4.0
149,128,,1222,3.0,648,4.0,88,4.0,585,3.0,572,3.0,223,
11,83,3.0,869,,38,5.0,518,,1113,5.0,1547,4.0,1053,
202,352,,116,,324,4.0,1301,4.0,53,4.0,122,4.0,846,5.0
127,1026,5.0,1491,4.0,263,4.0,1367,,424,5.0,1688,3.0,108,
105,1697,4.0,195,,1621,3.0,1191,,1019,2.0,1291,,587,3.0
81,1537,2.0,1073,5.0,499,,1302,,1449,3.0,1738,,429,5.0
183,1648,,1619,5.0,792,5.0,217,4.0,650,5.0,829,4.0,957,
129,179,,484,5.0,1045,,520,4.0,314,5.0,779,5.0,1723,
15,371,5.0,438,4.0,761,,1404,,205,5.0,685,,319,5.0
105,561,,881,2.0,548,2.0,343,3.0,890,,893,2.0,1455,
209,1430,,455,,424,,249,4.0,618,2.0,1259,1.0,269,2.0
26,1538,,898,,196,5.0,1337,5.0,668,,460,3.0,1565,4.0
61,788,4.0,136,2.0,1049,4.0,1019,4.0,363,5.0,187,,333,
119,561,,276,4.0,1588,4.0,1253,4.0,1046,,1366,5.0,886,
149,32,5.0,1488,4.0,1587,4.0,1621,4.0,983,,967,5.0,1447,
296,1440,,1072,,20,5.0,661,,1334,4.0,903,5.0,302,5.0
11,721,,37,5.0,486,4.0,502,5.0,441,4.0,1018,,1468,
49,291,,54,4.0,646,5.0,1063,5.0,680,4.0,1197,,1662,5.0
193,99,5.0,1335,,1418,4.0,1627,4.0,301,,910,5.0,991,
49,240,5.0,1569,,322,4.0,932,3.0,1004,,332,2.0,830,
222,1393,,514,3.0,994,,531,,985,4.0,410,3.0,271,2.0
15,1618,2.0,1203,5.0,1204,4.0,121,5.0,1742,,1390,,574,
51,1520,3.0,646,5.0,1239,5.0,1080,,1081,,1417,5.0,511,
127,752,,1250,3.0,1554,5.0,970,5.0,683,,843,5.0,1646,
16,290,,1588,3.0,1159,5.0,1321,,410,,251,3.0,1678,3.0
83,1158,3.0,1543,,586,,1244,5.0,1580,4.0,127,,831,5.0
85,1600,1.0,384,,1570,5.0,133,3.0,40,,779,,159,5.0
23,688,,1362,5.0,773,5.0,822,4.0,729,,142,5.0,1422,
246,944,,801,,113,5.0,753,,546,4.0,862,4.0,1055,4.0
54,897,3.0,1362,,1364,3.0,1128,5.0,728,,1321,,1100,3.0
202,1169,2.0,468,4.0,1095,,1608,2.0,442,,170,,1677,2.0
181,1136,4.0,212,5.0,1047,,1112,,520,1.0,1436,,623,4.0
129,1728,5.0,816,,497,,341,,679,5.0,537,4.0,541,5.0
43,913,3.0,978,5.0,1668,5.0,613,,1754,,186,5.0,463,
49,1010,5.0,309,5.0,1638,5.0,569,,1035,,1757,3.0,399,
181,1170,3.0,834,5.0,419,,1110,5.0,1242,,315,4.0,59,
270,1619,4.0,853,3.0,821,,329,,90,4.0,1309,,63,5.0
16,304,4.0,962,4.0,1608,4.0,345,,137,,635,3.0,189,
106,1600,5.0,885,2.0,1542,,1655,5.0,427,,507,4.0,907,
23,983,5.0,344,5.0,1514,,619,4.0,60,,141,5.0,1103,5.0
1,1060,5.0,628,,1652,4.0,824,2.0,937,5.0,1386,,651,
119,930,3.0,1426,5.0,51,5.0,820,,1700,,246,5.0,711,
1,711,5.0,1159,,1704,,233,1.0,1179,,188,3.0,1470,3.0
23,880,,116,5.0,277,5.0,678,,616,5.0,540,4.0,286,4.0
129,1714,4.0,1731,3.0,505,5.0,1082,,1419,5.0,429,,207,
197,736,,627,5.0,837,4.0,615,5.0,746,,524,3.0,1437,
85,1523,4.0,1205,,742,,1431,,664,4.0,655,3.0,1711,3.0
26,897,,1205,,1160,5.0,1689,4.0,907,5.0,1180,4.0,1518,4.0
44,102,5.0,713,4.0,1050,2.0,1259,5.0,1117,3.0,621,4.0,1439,
36,64,3.0,338,,258,4.0,314,,1194,3.0,507,4.0,1612,
54,384,,405,4.0,1657,,971,4.0,219,5.0,1486,,1103,4.0
63,690,4.0,310,,455,4.0,218,3.0,1531,,235,,620,4.0
1,5,,1365,,983,,378,5.0,1546,4.0,747,4.0,142,2.0
1,417,3.0,322,3.0,722,,535,4.0,267,,445,2.0,127,
23,1186,4.0,932,5.0,1541,,826,5.0,668,,1052,5.0,511,
44,1010,4.0,1749,,1495,3.0,504,4.0,617,3.0,329,4.0,1294,4.0
23,576,4.0,209,4.0,354,,579,4.0,1267,5.0,628,,1141,
16,1473,4.0,1249,5.0,626,3.0,770,,424,2.0,1066,,1179,
23,674,5.0,1106,,418,,519,5.0,329,4.0,1338,,1515,5.0
1,1428,3.0,167,5.0,632,3.0,1307,3.0,957,,702,,783,4.0
234,1200,5.0,1400,5.0,1209,,186,5.0,799,5.0,1359,,735,
8,1056,3.0,1713,4.0,1698,5.0,787,5.0,581,,501,,790,
197,2,,18,3.0,1444,,1303,,890,3.0,125,3.0,397,2.0
33,867,,1207,5.0,523,,1661,,974,3.0,111,4.0,415,4.0
110,1168,5.0,405,4.0,216,,618,,1290,5.0,269,,1278,3.0
11,99,4.0,308,5.0,1158,4.0,631,5.0,1528,,345,5.0,1338,
145,227,4.0,451,,1669,,54,4.0,167,4.0,711,,1194,4.0
68,1344,5.0,441,,1545,,233,4.0,507,4.0,1085,,334,3.0
15,498,,1060,4.0,406,5.0,1386,,1674,3.0,379,,829,4.0
49,932,3.0,101,2.0,599,4.0,938,,346,,396,,1405,4.0
183,18,4.0,483,4.0,1654,4.0,360,,136,4.0,44,,1567,
