item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8
83,657,4.0,689,,968,4.0,122,5.0,1675,3.0,491,,845,,1711,4.0
42,1379,,1141,4.0,598,4.0,854,5.0,1063,,458,,877,3.0,1406,3.0
16,1616,4.0,563,3.0,1511,,504,,1304,2.0,845,4.0,62,4.0,126,5.0
62,1312,,592,5.0,1651,,357,3.0,485,4.0,6,3.0,982,,1295,2.0
222,1554,,1155,2.0,1461,3.0,905,3.0,348,,285,,1694,3.0,1391,4.0
44,1728,5.0,177,4.0,1043,,1683,5.0,1526,,1623,3.0,473,5.0,703,
209,1714,4.0,1650,,579,,982,4.0,1654,2.0,216,3.0,603,4.0,780,
11,208,,1010,4.0,1460,3.0,373,,1110,5.0,567,1.0,490,,12,4.0
61,97,4.0,419,4.0,1060,,406,5.0,967,5.0,856,,27,5.0,351,1.0
246,1520,,34,4.0,1219,5.0,1044,3.0,1721,,714,,1050,5.0,1358,5.0
61,866,,276,4.0,406,5.0,795,5.0,588,,1276,4.0,253,,1662,4.0
222,592,,1282,3.0,930,,1670,3.0,1561,4.0,586,,859,5.0,1468,5.0
44,1504,,722,5.0,1379,5.0,761,5.0,1371,4.0,1486,,399,,1647,4.0
81,72,4.0,104,4.0,1418,,779,5.0,1691,,269,5.0,622,,863,4.0
44,882,,644,4.0,324,,1223,4.0,1431,3.0,1193,5.0,1226,,990,3.0
49,801,4.0,1138,4.0,354,,1749,,357,5.0,619,5.0,622,5.0,1391,5.0
16,695,4.0,983,,88,,619,3.0,684,5.0,1292,4.0,974,3.0,15,
127,1232,,597,,598,4.0,187,,988,3.0,77,5.0,782,4.0,270,5.0
208,1088,,306,4.0,132,4.0,1621,,1144,3.0,1674,4.0,1661,4.0,287,
229,1105,,1203,,1334,5.0,167,3.0,967,4.0,537,4.0,201,,1086,5.0
8,1536,,1521,,1314,4.0,162,,122,4.0,1131,5.0,1630,3.0,862,5.0
208,552,4.0,1304,,1224,4.0,139,,219,5.0,638,4.0,415,4.0,1359,
42,96,,901,4.0,1653,5.0,1367,3.0,1656,,1016,,585,4.0,958,4.0
26,305,,1651,4.0,1093,3.0,901,3.0,1190,,72,4.0,1500,5.0,188,4.0
0,64,3.0,16,4.0,787,,293,2.0,824,2.0,890,,1084,3.0,1407,
178,528,4.0,1235,5.0,228,3.0,1478,5.0,1596,,1132,,670,,831,4.0
11,833,3.0,579,3.0,792,4.0,122,5.0,907,4.0,1246,,1166,,111,
81,1376,4.0,1168,5.0,1602,5.0,1700,,567,4.0,713,4.0,1516,,30,
208,1184,,833,4.0,1314,4.0,981,,27,,1436,3.0,892,4.0,205,5.0
26,1588,4.0,311,5.0,839,5.0,1497,5.0,556,4.0,1629,5.0,1229,,479,
208,1265,4.0,772,4.0,820,5.0,1013,4.0,762,4.0,1307,4.0,637,,799,
208,513,5.0,1206,,329,,170,4.0,1210,3.0,76,,796,4.0,1295,3.0
44,1328,4.0,561,5.0,370,,950,,502,4.0,439,4.0,1627,3.0,670,
83,133,4.0,40,,442,,827,,11,3.0,334,4.0,1662,4.0,831,5.0
26,273,4.0,1394,4.0,67,5.0,1270,5.0,1162,,939,,1164,5.0,942,4.0
23,1731,4.0,1110,5.0,1528,4.0,1067,,701,5.0,670,5.0,846,,255,
23,432,4.0,178,4.0,1124,5.0,218,5.0,269,5.0,1326,3.0,1550,,1679,
1,1153,4.0,1075,5.0,883,4.0,548,,917,4.0,361,4.0,569,,1418,4.0
44,416,3.0,784,,785,3.0,1731,5.0,216,,1514,3.0,699,5.0,350,
10,1184,4.0,16,,1122,3.0,531,,1142,,330,2.0,507,4.0,1196,4.0
49,740,5.0,1433,4.0,138,4.0,746,,1035,,235,4.0,1229,,1101,5.0
127,51,4.0,183,,905,,1418,4.0,970,5.0,269,,1470,3.0,462,3.0
43,1504,,34,5.0,643,4.0,1670,4.0,1079,5.0,633,4.0,349,4.0,941,
23,0,5.0,483,3.0,1123,5.0,1604,,501,,1579,3.0,844,4.0,734,4.0
11,1344,3.0,1058,5.0,1731,,584,3.0,1115,,332,3.0,1660,,925,2.0
190,576,4.0,1632,4.0,49,4.0,258,4.0,1156,,824,,844,4.0,895,
49,672,,993,5.0,916,,676,5.0,1748,,967,5.0,473,4.0,1694,5.0
109,289,5.0,1378,,722,4.0,1235,5.0,646,4.0,311,5.0,1067,,1406,
149,1698,4.0,1011,,452,4.0,229,4.0,789,4.0,941,,735,4.0,1631,1.0
15,132,5.0,101,4.0,1750,5.0,200,4.0,91,,1308,,1150,5.0,1678,
11,1712,5.0,433,,1411,3.0,116,3.0,1044,4.0,5,,714,4.0,367,
61,1602,,901,3.0,166,5.0,1543,,88,,1160,5.0,681,4.0,107,5.0
8,1062,5.0,934,,744,5.0,1720,3.0,1737,,315,,1086,5.0,1183,5.0
49,1616,,1425,5.0,1108,,1669,5.0,968,5.0,697,4.0,107,4.0,1581,3.0
208,1152,,1153,5.0,1345,4.0,1559,4.0,492,,764,,1213,3.0,445,5.0
54,515,,915,5.0,356,5.0,1508,,986,5.0,1626,5.0,140,,573,5.0
8,80,5.0,1345,,901,3.0,294,5.0,232,,1738,,573,5.0,783,3.0
44,721,,484,5.0,516,,1334,,1114,4.0,1754,5.0,1450,4.0,1228,4.0
216,193,5.0,454,2.0,743,4.0,1064,,697,,1081,4.0,269,,286,2.0
11,1073,4.0,50,,1570,,23,,680,5.0,298,4.0,972,5.0,1295,4.0
15,323,,470,,535,4.0,1306,5.0,1451,,1052,4.0,1564,4.0,78,4.0
11,1108,,854,4.0,1447,,1048,5.0,121,4.0,1065,4.0,794,,1644,4.0
129,1490,5.0,1042,,1348,5.0,967,5.0,506,,140,,877,3.0,1630,4.0
198,626,2.0,611,,453,2.0,1253,4.0,1142,,8,4.0,1545,,1277,2.0
109,97,5.0,1524,4.0,502,,758,4.0,679,3.0,1355,5.0,1228,3.0,285,
44,1,3.0,1201,,1397,3.0,1062,4.0,1206,3.0,189,2.0,1343,,463,
200,1248,5.0,1236,,1686,2.0,967,5.0,1642,3.0,414,,350,,143,5.0
85,1120,,85,,1463,5.0,1577,5.0,1625,4.0,875,5.0,734,4.0,1023,
8,1397,,1206,4.0,902,,1734,,535,4.0,280,5.0,217,5.0,526,5.0
23,1057,3.0,1139,,580,4.0,1110,5.0,1271,,1737,5.0,922,3.0,1149,
16,112,3.0,866,3.0,1687,,408,4.0,184,,137,,1599,2.0,639,4.0
49,352,5.0,160,5.0,1234,,1458,,907,4.0,1531,,1406,5.0,447,5.0
0,1604,5.0,773,5.0,1398,4.0,216,,458,,762,3.0,189,,430,3.0
49,434,5.0,323,,711,,680,4.0,1481,5.0,1437,3.0,319,4.0,1535,3.0
119,1603,4.0,419,,1123,4.0,1108,,1269,5.0,1655,4.0,183,2.0,1737,
223,1344,4.0,322,,738,3.0,1330,,52,5.0,375,,607,5.0,175,5.0
149,1680,4.0,80,5.0,1490,,1044,4.0,471,5.0,300,,1533,2.0,207,
81,1392,,1570,5.0,1131,,1403,4.0,363,1.0,1499,4.0,301,5.0,1311,
49,1312,,1600,,1254,4.0,136,4.0,792,,506,4.0,462,4.0,415,3.0
128,1602,,99,5.0,276,,537,5.0,1131,,1676,4.0,141,5.0,207,4.0
15,1217,,1235,4.0,1428,5.0,645,3.0,709,5.0,152,,1210,3.0,1324,
16,308,5.0,1220,5.0,948,,421,,198,,1608,4.0,1295,4.0,287,2.0
11,736,5.0,1680,4.0,712,,1547,4.0,540,4.0,12,4.0,1086,5.0,687,
193,1361,5.0,834,5.0,610,5.0,980,,789,,726,5.0,1722,4.0,1277,
23,1538,,1606,5.0,758,5.0,86,5.0,425,,217,5.0,11,3.0,1628,5.0
129,532,5.0,1110,5.0,649,,970,5.0,573,5.0,1294,5.0,1006,5.0,1583,4.0
234,1317,4.0,406,5.0,294,5.0,1528,3.0,682,,908,,1309,5.0,367,
16,102,3.0,1559,1.0,840,4.0,1353,,490,1.0,509,,845,4.0,943,3.0
16,1331,,404,,357,3.0,70,3.0,300,,1292,4.0,445,3.0,62,4.0
16,1091,,19,5.0,1541,3.0,1399,4.0,745,,188,5.0,1596,5.0,1598,4.0
208,192,,231,3.0,633,,1627,5.0,1565,3.0,1278,4.0,478,,831,5.0
23,275,,996,5.0,676,5.0,1269,5.0,965,5.0,838,,1527,,1433,4.0
26,1120,,962,5.0,932,4.0,228,3.0,1044,,824,4.0,122,4.0,287,
8,67,4.0,293,5.0,214,5.0,473,5.0,780,4.0,846,5.0,206,5.0,319,5.0
26,48,,787,5.0,404,5.0,1718,,1451,2.0,1547,2.0,412,,254,4.0
15,785,,1058,5.0,676,5.0,1110,5.0,1494,5.0,1547,4.0,1037,,1215,
49,691,4.0,1603,5.0,1317,5.0,1302,5.0,1000,,378,5.0,317,,31,4.0
