item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8,user-9,rating-9
113,1696,,928,,1536,3.0,468,5.0,137,,1561,4.0,474,4.0,1420,2.0,590,
23,1712,5.0,419,4.0,1365,4.0,1096,2.0,1706,,1693,,1134,,1390,,591,5.0
113,706,,1300,,133,5.0,1654,3.0,231,4.0,1544,4.0,1001,4.0,28,,717,4.0
26,1154,4.0,179,,1299,4.0,981,3.0,216,,1371,,1629,5.0,478,,862,5.0
54,547,5.0,917,,1429,4.0,774,,519,4.0,90,,285,,125,5.0,271,4.0
200,177,4.0,1170,5.0,1491,,52,3.0,1094,,1047,5.0,1575,,1116,4.0,94,
277,16,4.0,704,,1747,3.0,1477,,1301,2.0,519,,1656,,57,4.0,826,5.0
8,1216,,1200,2.0,1441,2.0,564,,647,4.0,1191,,1752,5.0,1146,5.0,1578,
25,1056,1.0,353,,18,4.0,1749,,1654,2.0,1065,4.0,1386,,589,2.0,670,
8,529,4.0,1009,5.0,1714,,1347,,932,4.0,983,5.0,873,,1753,5.0,12,
15,804,5.0,214,4.0,1702,5.0,280,4.0,1144,4.0,856,,937,4.0,905,5.0,494,4.0
16,336,3.0,1312,,1426,3.0,1284,,1130,,730,1.0,428,3.0,61,,734,3.0
190,912,3.0,1123,4.0,1091,4.0,1651,4.0,740,,1173,,456,3.0,428,,1709,
26,1201,,580,5.0,1414,4.0,343,3.0,409,,138,3.0,203,,639,5.0,559,
205,816,5.0,690,3.0,1506,,276,,806,3.0,519,5.0,1642,4.0,571,,1003,
202,242,4.0,868,,167,4.0,1049,3.0,1193,4.0,1467,,1181,,1182,5.0,1087,
44,1632,5.0,626,2.0,677,,661,5.0,1240,3.0,1064,4.0,1257,,473,5.0,27,
49,834,3.0,1202,5.0,452,5.0,132,,1206,,1225,4.0,1403,,1550,5.0,1615,5.0
83,864,5.0,1680,5.0,820,3.0,453,4.0,1110,5.0,583,,1480,4.0,667,,205,
15,1696,,1345,,774,3.0,758,3.0,1129,4.0,1625,,1147,5.0,1471,,1023,3.0
149,368,,1378,,594,5.0,840,4.0,1689,4.0,682,,554,,283,5.0,191,4.0
40,387,,52,1.0,628,,822,,1191,3.0,473,5.0,699,5.0,414,3.0,79,
8,816,3.0,993,,770,4.0,803,3.0,1718,,119,5.0,952,,104,,430,4.0
49,832,4.0,1648,5.0,1736,,1721,4.0,1387,,764,,142,,62,5.0,623,4.0
54,530,4.0,291,,1380,5.0,1094,,214,4.0,152,,585,3.0,811,5.0,124,
73,1425,4.0,1651,5.0,1252,4.0,996,3.0,1030,,1142,,471,3.0,535,,104,
11,181,,598,5.0,1367,,216,5.0,1276,4.0,332,3.0,1132,,1391,3.0,1679,3.0
44,1025,5.0,68,,500,5.0,661,5.0,1557,5.0,166,5.0,1737,5.0,139,,942,4.0
40,160,5.0,1009,5.0,338,,1250,5.0,1640,,1225,3.0,538,5.0,1211,,237,
23,752,,1713,5.0,835,,851,5.0,1095,,905,4.0,234,,556,5.0,157,4.0
8,752,5.0,451,4.0,643,5.0,549,,1308,,301,,125,4.0,1709,3.0,991,
44,1328,4.0,689,,1462,,583,4.0,121,4.0,489,4.0,14,,1583,,815,4.0
26,913,,450,,1363,5.0,358,5.0,166,2.0,1192,,443,5.0,892,5.0,508,
8,496,5.0,1606,5.0,1383,,872,,905,5.0,217,5.0,1114,2.0,621,,446,
15,1523,5.0,598,5.0,39,,935,5.0,1659,,524,5.0,716,,350,,111,4.0
99,1297,,49,,405,4.0,1126,,1654,4.0,599,4.0,1706,,619,2.0,1564,2.0
129,321,4.0,1377,4.0,434,,278,,854,,535,5.0,10,5.0,1036,5.0,461,4.0
15,640,,1680,5.0,577,,209,,1699,5.0,1460,4.0,614,3.0,759,5.0,1399,3.0
129,273,5.0,1412,5.0,966,,456,4.0,249,4.0,490,,571,4.0,667,,1743,5.0
8,160,5.0,161,,242,5.0,643,5.0,1237,5.0,746,,1626,,763,5.0,1675,5.0
33,1552,4.0,1377,4.0,1570,,1588,4.0,519,5.0,106,,1534,4.0,574,,527,
11,307,,596,,1174,,791,5.0,23,,377,4.0,61,5.0,1006,4.0,1086,5.0
1,1696,3.0,353,,578,,357,3.0,326,3.0,522,3.0,298,4.0,1755,,475,
51,1156,,150,,1065,5.0,874,3.0,1404,5.0,13,3.0,1469,,733,3.0,782,
11,1200,,722,3.0,675,4.0,1284,,1222,,679,3.0,234,,573,4.0,927,4.0
81,1633,,1173,5.0,697,3.0,1482,4.0,123,,653,,670,5.0,1487,,783,2.0
44,1489,,1218,3.0,947,4.0,341,3.0,456,3.0,249,,716,3.0,766,,1503,4.0
44,1088,,977,4.0,1634,4.0,467,,1444,4.0,116,,805,,986,4.0,1114,4.0
177,1536,3.0,624,5.0,306,4.0,594,,310,3.0,1430,,1470,,1007,,1071,5.0
172,1345,3.0,1540,,453,3.0,1751,3.0,1305,,1259,5.0,493,,158,5.0,111,
26,241,3.0,1569,,770,,1507,,484,3.0,169,,1435,3.0,1102,5.0,1647,4.0
22,65,,501,,373,,1414,5.0,1223,,983,2.0,1563,1.0,1004,3.0,1631,1.0
81,1058,5.0,1746,,438,4.0,360,,1048,5.0,474,,1722,,1579,4.0,1692,5.0
16,592,3.0,736,,241,,1041,4.0,530,4.0,507,4.0,1180,,1277,,143,4.0
26,1328,4.0,147,,867,5.0,1207,4.0,1623,5.0,1484,,1053,,1357,5.0,1343,
83,1680,5.0,708,5.0,229,4.0,1592,4.0,1400,4.0,764,,28,,302,,1518,5.0
23,1680,,289,5.0,1090,,962,5.0,930,,1302,,1399,4.0,987,5.0,1003,5.0
76,1041,3.0,1410,3.0,1507,,1269,5.0,1223,3.0,1596,,605,,1181,1.0,367,
62,241,5.0,97,2.0,1668,,1047,5.0,1095,,1705,5.0,1516,,1374,,1007,5.0
44,129,4.0,1301,5.0,1318,4.0,105,,1450,4.0,1086,5.0,1454,3.0,1183,,831,5.0
49,948,5.0,917,,54,4.0,1622,,998,,1433,4.0,58,4.0,523,,603,5.0
16,1169,4.0,994,,1253,4.0,438,,263,4.0,617,4.0,410,,1708,3.0,1228,4.0
208,865,5.0,1122,2.0,165,,1013,4.0,489,5.0,121,4.0,187,,476,,1452,
129,1264,,1090,5.0,84,,1365,4.0,185,5.0,986,5.0,634,5.0,269,,1261,
193,1713,5.0,1270,4.0,1513,,1562,,1323,,1086,5.0,1406,,1182,4.0,1375,4.0
8,1122,3.0,1413,,390,4.0,1607,5.0,375,,378,5.0,1020,,1662,4.0,543,
109,977,5.0,1684,,1109,,839,4.0,1527,,106,4.0,524,3.0,1181,,1054,5.0
16,1265,5.0,1670,4.0,1033,,1642,4.0,539,5.0,604,3.0,333,,621,,1279,
16,912,3.0,1745,5.0,580,4.0,870,3.0,1224,4.0,1501,,1581,4.0,62,4.0,718,4.0
26,625,5.0,1393,,1556,5.0,1462,5.0,231,5.0,1416,,858,,555,2.0,959,5.0
81,448,5.0,1329,5.0,1186,,354,,1667,,1638,3.0,1159,5.0,635,,845,4.0
127,1169,2.0,371,,485,,389,,1352,,76,4.0,1132,4.0,124,3.0,1533,3.0
19,97,4.0,353,,1698,4.0,311,4.0,1497,,970,3.0,1642,1.0,1260,,1358,
15,1408,,721,,306,3.0,1170,4.0,691,,1351,5.0,839,5.0,60,,527,3.0
16,721,,1122,3.0,1203,,1588,3.0,629,,1529,5.0,603,4.0,1020,4.0,844,
228,1584,,512,5.0,705,4.0,1748,3.0,212,1.0,1381,,87,,1385,,363,4.0
23,1216,5.0,1523,5.0,759,5.0,679,4.0,569,,1162,,1292,5.0,1039,4.0,1279,
8,817,4.0,1091,,998,5.0,22,5.0,537,,1098,5.0,778,5.0,300,,1631,
16,1505,,1297,4.0,467,4.0,564,4.0,855,5.0,1575,,552,3.0,440,,843,4.0
1,305,4.0,1202,,483,4.0,277,2.0,821,,6,4.0,504,,266,,235,4.0
